,Unnamed: 0,nodes,id,avg_avg_fit,min_best_fit,max_best_fit,avg_best_fit,num_edges,two_cycles,long_cycles,strongly_connected
0,0,7,202,1.9616,2.0,2.0,2.0,19,6,9,False
1,1,7,342,1.9740571428571427,2.0,2.0,2.0,20,4,35,True
2,2,7,361,1.9614857142857145,2.0,2.0,2.0,20,5,17,False
3,3,7,17,1.9701714285714285,2.0,2.0,2.0,18,4,23,True
4,4,7,335,1.9675428571428573,2.0,2.0,2.0,23,5,58,True
5,5,7,479,1.9778285714285715,2.0,2.0,2.0,22,5,39,True
6,6,7,275,1.9825142857142857,2.0,2.0,2.0,21,8,30,True
7,7,7,123,1.981942857142857,2.0,2.0,2.0,21,5,29,True
8,8,7,194,1.992457142857143,2.0,2.0,2.0,18,4,20,True
9,9,7,212,1.9753142857142856,2.0,2.0,2.0,23,5,51,True
10,10,7,471,1.9869714285714288,2.0,2.0,2.0,23,6,64,True
11,11,7,316,1.9672,2.0,2.0,2.0,21,6,14,True
12,12,7,356,1.9725714285714289,2.0,2.0,2.0,20,5,12,False
13,13,7,181,1.9712,2.0,2.0,2.0,19,7,18,True
14,14,7,271,1.9744,2.0,2.0,2.0,19,5,19,True
15,15,7,69,1.9779428571428568,2.0,2.0,2.0,23,9,41,False
16,16,7,376,1.9691428571428573,2.0,2.0,2.0,21,6,48,True
17,17,7,295,1.9768,2.0,2.0,2.0,21,5,32,False
18,18,7,164,1.968457142857143,2.0,2.0,2.0,20,4,38,True
19,19,7,401,1.962171428571428,2.0,2.0,2.0,20,4,18,False
20,20,7,438,1.992457142857143,2.0,2.0,2.0,22,6,54,True
21,21,7,182,1.972457142857143,2.0,2.0,2.0,21,4,57,True
22,22,7,139,1.9782857142857144,2.0,2.0,2.0,18,5,12,False
23,23,7,326,1.972114285714286,2.0,2.0,2.0,23,7,40,True
24,24,7,24,1.9854857142857143,1.9714285714285715,2.0,1.997142857142857,22,6,28,True
25,25,7,484,1.9797714285714283,2.0,2.0,2.0,24,8,63,True
26,26,7,52,1.9731428571428569,2.0,2.0,2.0,17,3,18,True
27,27,7,378,1.9896,2.0,2.0,2.0,21,6,54,True
28,28,7,311,1.9662857142857144,2.0,2.0,2.0,20,6,14,False
29,29,7,233,1.9794285714285715,2.0,2.0,2.0,20,6,37,True
30,30,7,61,1.972,2.0,2.0,2.0,19,4,16,True
31,31,7,280,1.9854857142857143,2.0,2.0,2.0,20,4,7,False
32,32,7,82,1.9730285714285716,2.0,2.0,2.0,21,5,39,True
33,33,7,90,1.9794285714285715,2.0,2.0,2.0,20,6,17,False
34,34,7,407,1.9814857142857143,2.0,2.0,2.0,21,7,30,True
35,35,7,238,1.9870857142857143,2.0,2.0,2.0,18,3,21,False
36,36,7,467,1.9697142857142855,2.0,2.0,2.0,15,1,15,True
37,37,7,46,1.9699428571428568,2.0,2.0,2.0,20,6,29,False
38,38,7,214,1.9824,2.0,2.0,2.0,21,6,27,True
39,39,7,86,1.960457142857143,2.0,2.0,2.0,21,6,42,True
40,40,7,110,1.9545142857142859,2.0,2.0,2.0,24,8,106,True
41,41,7,198,1.9625142857142857,2.0,2.0,2.0,20,5,21,False
42,42,7,91,1.9817142857142855,2.0,2.0,2.0,22,7,62,True
43,43,7,103,1.9739428571428568,2.0,2.0,2.0,21,6,33,True
44,44,7,234,1.9813714285714288,2.0,2.0,2.0,22,7,50,True
45,45,7,63,1.9820571428571427,2.0,2.0,2.0,21,5,19,False
46,46,7,458,1.9694857142857145,2.0,2.0,2.0,18,4,21,True
47,47,7,30,1.978628571428572,2.0,2.0,2.0,21,6,43,True
48,48,7,371,1.9778285714285715,2.0,2.0,2.0,21,6,37,True
49,49,7,442,1.9803428571428567,2.0,2.0,2.0,20,5,40,True
50,50,7,20,1.9768,2.0,2.0,2.0,25,10,30,True
51,51,7,322,1.9645714285714284,2.0,2.0,2.0,20,8,28,True
52,52,7,441,1.9864,2.0,2.0,2.0,19,3,13,False
53,53,7,375,1.9853714285714283,2.0,2.0,2.0,22,6,30,True
54,54,7,367,1.9602285714285717,2.0,2.0,2.0,17,4,8,False
55,55,7,56,1.9753142857142856,2.0,2.0,2.0,20,4,10,True
56,56,7,402,1.9736,2.0,2.0,2.0,23,4,23,False
57,57,7,14,1.985942857142857,2.0,2.0,2.0,22,6,52,True
58,58,7,132,1.979542857142857,2.0,2.0,2.0,19,4,25,True
59,59,7,344,1.9620571428571427,2.0,2.0,2.0,22,6,88,True
60,60,7,183,1.9612571428571428,2.0,2.0,2.0,23,6,77,True
61,61,7,468,1.9734857142857145,2.0,2.0,2.0,20,6,52,True
62,62,7,75,1.985142857142857,2.0,2.0,2.0,19,4,30,True
63,63,7,456,1.977142857142857,2.0,2.0,2.0,17,6,10,False
64,64,7,289,1.9750857142857143,2.0,2.0,2.0,21,6,56,True
65,65,7,276,1.9747428571428567,2.0,2.0,2.0,20,7,26,True
66,66,7,245,1.9714285714285715,2.0,2.0,2.0,22,6,65,True
67,67,7,177,1.9878857142857145,2.0,2.0,2.0,20,7,27,True
68,68,7,448,1.9624,2.0,2.0,2.0,20,4,10,True
69,69,7,306,1.9684571428571431,2.0,2.0,2.0,22,7,37,True
70,70,7,299,1.9769142857142856,2.0,2.0,2.0,21,5,40,True
71,71,7,173,1.9584000000000004,2.0,2.0,2.0,20,4,64,True
72,72,7,304,1.9630857142857143,2.0,2.0,2.0,23,6,71,True
73,73,7,113,1.9829714285714288,2.0,2.0,2.0,22,5,53,True
74,74,7,126,1.970057142857143,2.0,2.0,2.0,20,4,48,True
75,75,7,320,1.9869714285714288,2.0,2.0,2.0,25,8,98,True
76,76,7,237,1.9865142857142857,2.0,2.0,2.0,19,6,12,True
77,77,7,70,1.9849142857142852,2.0,2.0,2.0,20,5,37,True
78,78,7,211,1.976914285714286,2.0,2.0,2.0,21,8,44,True
79,79,7,3,1.965828571428572,2.0,2.0,2.0,21,7,14,True
80,80,7,34,1.9734857142857145,2.0,2.0,2.0,23,6,85,True
81,81,7,171,1.9889142857142852,2.0,2.0,2.0,22,6,32,True
82,82,7,450,1.963771428571429,2.0,2.0,2.0,21,4,57,True
83,83,7,418,1.964457142857143,2.0,2.0,2.0,20,3,40,True
84,84,7,482,1.968457142857143,2.0,2.0,2.0,17,2,24,True
85,85,7,192,1.9761142857142855,2.0,2.0,2.0,20,7,25,True
86,86,7,420,1.9850285714285716,2.0,2.0,2.0,21,7,43,True
87,87,7,470,1.965942857142857,2.0,2.0,2.0,21,5,29,True
88,88,7,170,1.9580571428571427,2.0,2.0,2.0,23,7,40,True
89,89,7,146,1.980228571428572,2.0,2.0,2.0,18,6,9,False
90,90,7,23,1.9810285714285711,2.0,2.0,2.0,19,4,39,True
91,91,7,130,1.9726857142857144,2.0,2.0,2.0,20,6,30,True
92,92,7,464,1.9809142857142856,2.0,2.0,2.0,20,8,16,False
93,93,7,294,1.9853714285714288,2.0,2.0,2.0,20,5,23,False
94,94,7,66,1.965028571428572,2.0,2.0,2.0,22,6,67,True
95,95,7,389,1.9778285714285715,2.0,2.0,2.0,21,5,11,True
96,96,7,447,1.9740571428571427,2.0,2.0,2.0,19,5,18,True
97,97,7,9,1.9696,2.0,2.0,2.0,21,5,39,True
98,98,7,436,1.9606857142857144,2.0,2.0,2.0,21,6,11,False
99,99,7,497,1.9557714285714287,2.0,2.0,2.0,23,8,52,True
100,100,7,435,1.98,2.0,2.0,2.0,20,4,46,True
101,101,7,157,1.9772571428571428,2.0,2.0,2.0,22,6,32,True
102,102,7,490,1.956914285714286,2.0,2.0,2.0,24,8,49,False
103,103,7,143,1.9754285714285715,2.0,2.0,2.0,23,9,49,True
104,104,7,199,1.9683428571428567,2.0,2.0,2.0,17,4,9,False
105,105,7,80,1.974171428571429,2.0,2.0,2.0,21,5,31,True
106,106,7,487,1.9644571428571431,2.0,2.0,2.0,16,2,1,False
107,107,7,131,1.9744000000000004,2.0,2.0,2.0,23,6,32,True
108,108,7,334,1.9766857142857144,2.0,2.0,2.0,22,5,77,True
109,109,7,231,1.9869714285714284,2.0,2.0,2.0,21,6,19,False
110,110,7,167,1.9778285714285715,2.0,2.0,2.0,20,4,13,False
111,111,7,78,1.9880000000000002,2.0,2.0,2.0,22,7,55,True
112,112,7,161,1.9789714285714288,2.0,2.0,2.0,22,8,26,True
