,Unnamed: 0,nodes,id,avg_avg_fit,min_best_fit,max_best_fit,avg_best_fit,num_edges,two_cycles,long_cycles,strongly_connected
0,0,10,122,1.97536,2.0,2.0,2.0,21,2,13,False
1,1,10,173,1.9656799999999999,1.98,2.0,1.9980000000000002,22,4,4,False
2,2,10,400,1.95344,2.0,2.0,2.0,22,5,11,False
3,3,10,139,1.9725599999999999,2.0,2.0,2.0,21,3,7,False
4,4,10,54,1.9713599999999998,2.0,2.0,2.0,23,5,8,False
5,5,10,372,1.9735200000000002,2.0,2.0,2.0,20,2,0,False
6,6,10,67,1.9796799999999999,2.0,2.0,2.0,21,7,4,False
7,7,10,482,1.97728,2.0,2.0,2.0,22,2,11,False
8,8,10,185,1.96712,1.98,2.0,1.9980000000000002,21,2,4,False
9,9,10,75,1.9683200000000003,2.0,2.0,2.0,21,6,2,False
10,10,10,404,1.96632,1.98,2.0,1.9980000000000002,20,3,2,False
11,11,10,146,1.9772,2.0,2.0,2.0,22,4,12,False
12,12,10,222,1.9500800000000005,2.0,2.0,2.0,21,2,5,False
13,13,10,274,1.9756799999999999,2.0,2.0,2.0,22,4,1,False
14,14,10,258,1.97376,1.98,2.0,1.9980000000000002,23,5,20,False
15,15,10,467,1.9724,2.0,2.0,2.0,18,4,7,False
16,16,10,411,1.96416,2.0,2.0,2.0,22,5,5,False
17,17,10,155,1.97496,2.0,2.0,2.0,21,2,12,False
18,18,10,187,1.96256,2.0,2.0,2.0,21,4,4,False
19,19,10,413,1.97248,2.0,2.0,2.0,23,4,6,False
20,20,10,412,1.9817599999999997,2.0,2.0,2.0,23,5,19,True
21,21,10,36,1.97944,1.98,2.0,1.9980000000000002,21,4,6,False
22,22,10,349,1.98008,2.0,2.0,2.0,20,2,2,False
23,23,10,91,1.97232,1.98,2.0,1.9980000000000002,23,4,23,False
24,24,10,221,1.9782400000000002,2.0,2.0,2.0,19,1,4,False
25,25,10,99,1.9777600000000004,2.0,2.0,2.0,21,2,2,False
26,26,10,385,1.982,2.0,2.0,2.0,22,4,10,False
27,27,10,74,1.98072,2.0,2.0,2.0,21,3,6,False
28,28,10,191,1.9759200000000001,2.0,2.0,2.0,21,2,17,False
29,29,10,216,1.9644,2.0,2.0,2.0,21,4,7,False
30,30,10,490,1.9866400000000002,2.0,2.0,2.0,21,4,9,False
31,31,10,360,1.9685599999999999,2.0,2.0,2.0,21,2,3,False
32,32,10,486,1.97848,2.0,2.0,2.0,20,3,8,False
33,33,10,275,1.97736,2.0,2.0,2.0,20,2,19,True
34,34,10,314,1.98432,2.0,2.0,2.0,23,2,36,False
35,35,10,56,1.9808,2.0,2.0,2.0,20,3,9,False
36,36,10,17,1.9817599999999997,2.0,2.0,2.0,23,2,13,False
37,37,10,406,1.97688,2.0,2.0,2.0,24,5,3,False
38,38,10,33,1.98144,2.0,2.0,2.0,21,4,3,False
39,39,10,454,1.9680000000000002,2.0,2.0,2.0,21,2,9,False
40,40,10,196,1.9804,2.0,2.0,2.0,21,2,4,False
41,41,10,165,1.9693599999999998,2.0,2.0,2.0,23,4,27,False
42,42,10,150,1.97888,2.0,2.0,2.0,21,4,5,False
43,43,10,70,1.9756799999999999,1.98,2.0,1.9980000000000002,22,4,10,False
44,44,10,206,1.9644,2.0,2.0,2.0,23,2,34,True
45,45,10,177,1.96976,2.0,2.0,2.0,21,2,16,False
46,46,10,336,1.96648,2.0,2.0,2.0,22,6,2,False
47,47,10,383,1.97816,2.0,2.0,2.0,22,3,6,False
48,48,10,297,1.9760799999999998,2.0,2.0,2.0,18,3,1,False
49,49,10,402,1.9740799999999998,2.0,2.0,2.0,21,1,13,False
50,50,10,395,1.98232,2.0,2.0,2.0,23,3,16,False
51,51,10,112,1.9713599999999998,2.0,2.0,2.0,22,3,30,True
52,52,10,65,1.97928,2.0,2.0,2.0,22,2,34,True
53,53,10,242,1.97528,2.0,2.0,2.0,22,4,14,False
54,54,10,295,1.98776,1.98,2.0,1.9980000000000002,22,2,2,False
55,55,10,344,1.9816799999999999,2.0,2.0,2.0,22,3,19,False
56,56,10,443,1.97856,2.0,2.0,2.0,20,3,11,False
57,57,10,5,1.98224,2.0,2.0,2.0,23,2,17,False
58,58,10,28,1.97272,2.0,2.0,2.0,23,5,7,False
59,59,10,485,1.97576,2.0,2.0,2.0,21,2,19,True
60,60,10,50,1.98272,2.0,2.0,2.0,21,5,4,False
61,61,10,131,1.9805599999999999,2.0,2.0,2.0,22,4,12,False
62,62,10,161,1.98128,2.0,2.0,2.0,20,2,11,False
63,63,10,448,1.9847200000000005,2.0,2.0,2.0,18,3,5,False
64,64,10,130,1.97384,1.98,2.0,1.9980000000000002,23,4,23,False
65,65,10,4,1.9684,2.0,2.0,2.0,22,4,13,False
66,66,10,396,1.9730400000000001,1.98,2.0,1.9980000000000002,21,3,1,False
67,67,10,420,1.97952,2.0,2.0,2.0,21,4,6,False
68,68,10,376,1.97496,2.0,2.0,2.0,21,1,7,False
69,69,10,466,1.9678400000000003,1.96,2.0,1.996,22,4,3,False
70,70,10,367,1.96032,2.0,2.0,2.0,20,3,1,False
71,71,10,418,1.974,2.0,2.0,2.0,23,4,11,False
72,72,10,20,1.97456,2.0,2.0,2.0,23,4,29,True
73,73,10,325,1.9846400000000002,2.0,2.0,2.0,23,7,15,False
74,74,10,435,1.98232,2.0,2.0,2.0,20,4,11,False
