,Unnamed: 0,nodes,id,avg_avg_fit,min_best_fit,max_best_fit,avg_best_fit,num_edges,two_cycles,long_cycles,strongly_connected
0,0,6,38,1.9669333333333332,2.0,2.0,2.0,16,4,24,True
1,1,6,53,1.986,2.0,2.0,2.0,16,5,18,True
2,2,6,110,1.9682666666666664,2.0,2.0,2.0,18,6,24,True
3,3,6,161,1.9678666666666669,2.0,2.0,2.0,19,5,35,True
4,4,6,470,1.9826666666666664,2.0,2.0,2.0,18,6,24,True
5,5,6,220,1.9794666666666667,2.0,2.0,2.0,16,5,10,True
6,6,6,477,1.973733333333333,2.0,2.0,2.0,18,6,39,True
7,7,6,393,1.9770666666666663,2.0,2.0,2.0,18,6,17,True
8,8,6,149,1.9882666666666668,2.0,2.0,2.0,18,7,16,True
9,9,6,379,1.9708,2.0,2.0,2.0,18,8,17,True
10,10,6,372,1.9785333333333333,2.0,2.0,2.0,18,5,19,True
11,11,6,319,1.9794666666666665,2.0,2.0,2.0,19,5,49,True
12,12,6,424,1.9678666666666669,2.0,2.0,2.0,17,7,18,True
13,13,6,190,1.9468,2.0,2.0,2.0,19,7,21,True
14,14,6,469,1.9770666666666667,2.0,2.0,2.0,18,4,31,True
15,15,6,211,1.9765333333333333,2.0,2.0,2.0,19,8,34,True
16,16,6,40,1.9658666666666669,2.0,2.0,2.0,16,4,13,True
17,17,6,0,1.9789333333333328,2.0,2.0,2.0,17,4,26,True
18,18,6,316,1.982,2.0,2.0,2.0,16,5,19,False
19,19,6,390,1.9816,2.0,2.0,2.0,19,5,35,True
20,20,6,41,1.9842666666666664,2.0,2.0,2.0,18,6,26,True
21,21,6,435,1.9797333333333331,2.0,2.0,2.0,16,5,17,True
22,22,6,59,1.9784,2.0,2.0,2.0,16,5,14,True
23,23,6,143,1.9465333333333332,2.0,2.0,2.0,18,4,35,True
24,24,6,350,1.9845333333333337,2.0,2.0,2.0,15,4,17,True
25,25,6,230,1.9858666666666664,2.0,2.0,2.0,17,6,7,True
26,26,6,291,1.9736,2.0,2.0,2.0,21,8,66,True
27,27,6,1,1.9596,2.0,2.0,2.0,17,5,24,True
28,28,6,169,1.9773333333333332,2.0,2.0,2.0,16,7,6,False
29,29,6,394,1.9750666666666667,2.0,2.0,2.0,17,5,21,True
30,30,6,318,1.9797333333333331,2.0,2.0,2.0,18,7,21,True
31,31,6,171,1.9753333333333332,2.0,2.0,2.0,19,7,29,True
32,32,6,179,1.9733333333333332,2.0,2.0,2.0,14,3,10,False
33,33,6,462,1.9697333333333331,2.0,2.0,2.0,17,6,25,True
