,Unnamed: 0,nodes,id,avg_avg_fit,min_best_fit,max_best_fit,avg_best_fit,num_edges,two_cycles,long_cycles,strongly_connected
0,0,4,48,1.9944,2.0,2.0,2.0,5,1,1,False
1,1,4,147,1.9942000000000004,2.0,2.0,2.0,7,3,1,True
2,2,4,92,1.9616,2.0,2.0,2.0,6,2,0,False
3,3,4,49,1.9744,2.0,2.0,2.0,5,1,1,False
4,4,4,156,1.9676,2.0,2.0,2.0,8,2,3,True
5,5,4,6,1.9766,2.0,2.0,2.0,3,0,0,False
6,6,4,94,1.9698,2.0,2.0,2.0,6,3,0,True
7,7,4,122,1.9894000000000005,2.0,2.0,2.0,7,3,1,True
8,8,4,39,1.9748,2.0,2.0,2.0,5,1,0,False
9,9,4,62,1.9688,2.0,2.0,2.0,5,0,1,False
10,10,4,27,1.966,2.0,2.0,2.0,4,1,0,False
11,11,4,28,1.9724,2.0,2.0,2.0,4,0,1,False
12,12,4,195,1.9882,2.0,2.0,2.0,10,4,6,True
13,13,4,115,1.9646,2.0,2.0,2.0,7,1,0,False
14,14,4,7,1.9848,2.0,2.0,2.0,3,0,0,False
15,15,4,70,1.9880000000000002,2.0,2.0,2.0,6,1,0,False
16,16,4,46,1.9774,2.0,2.0,2.0,5,1,1,False
17,17,4,168,1.9632,2.0,2.0,2.0,8,3,2,True
18,18,4,112,1.9888,2.0,2.0,2.0,6,0,1,False
19,19,4,74,1.9764,2.0,2.0,2.0,6,3,0,True
20,20,4,138,1.9832,2.0,2.0,2.0,7,2,3,True
21,21,4,131,1.9732,2.0,2.0,2.0,7,1,3,True
22,22,4,68,1.9742,2.0,2.0,2.0,6,2,1,False
23,23,4,65,1.9724,2.0,2.0,2.0,5,0,2,True
24,24,4,16,1.9644,2.0,2.0,2.0,4,0,0,False
25,25,4,97,1.9822,2.0,2.0,2.0,6,1,3,True
26,26,4,69,1.9722,2.0,2.0,2.0,6,2,1,False
27,27,4,104,1.9678,2.0,2.0,2.0,6,2,1,True
28,28,4,196,1.9684,2.0,2.0,2.0,10,4,7,True
29,29,4,101,1.9669999999999999,2.0,2.0,2.0,6,2,0,False
30,30,4,5,1.9764,2.0,2.0,2.0,3,0,0,False
31,31,4,72,1.9714000000000005,2.0,2.0,2.0,6,1,1,False
32,32,4,108,1.964,2.0,2.0,2.0,6,1,2,True
33,33,4,183,1.9808,2.0,2.0,2.0,9,3,5,True
34,34,4,12,1.9718,2.0,2.0,2.0,4,1,0,False
35,35,4,181,1.9518,2.0,2.0,2.0,9,3,6,True
36,36,4,176,1.963,2.0,2.0,2.0,8,3,3,True
37,37,4,118,1.9718000000000004,2.0,2.0,2.0,7,3,1,True
38,38,4,149,1.9864,2.0,2.0,2.0,7,1,4,True
39,39,4,57,1.9666,2.0,2.0,2.0,5,0,1,False
40,40,4,160,1.9602,2.0,2.0,2.0,8,3,3,True
41,41,4,37,1.9816,2.0,2.0,2.0,5,0,0,False
42,42,4,15,1.9792,2.0,2.0,2.0,4,0,0,False
43,43,4,140,1.992,2.0,2.0,2.0,7,3,1,True
44,44,4,189,1.9988000000000004,2.0,2.0,2.0,9,4,4,True
45,45,4,67,1.9758,2.0,2.0,2.0,6,1,0,False
46,46,4,60,1.9774,2.0,2.0,2.0,5,1,0,False
47,47,4,44,1.9726,2.0,2.0,2.0,5,2,0,False
48,48,4,197,1.9618,2.0,2.0,2.0,11,5,10,True
49,49,4,111,1.9816000000000005,2.0,2.0,2.0,6,1,0,False
50,50,4,8,1.9886,2.0,2.0,2.0,4,1,0,False
51,51,4,170,1.985,2.0,2.0,2.0,8,2,3,True
52,52,4,95,1.9868,2.0,2.0,2.0,6,2,1,True
53,53,4,143,1.9826,2.0,2.0,2.0,7,2,1,False
54,54,4,0,1.9768,2.0,2.0,2.0,3,0,0,False
55,55,4,24,1.9782,2.0,2.0,2.0,4,0,0,False
56,56,4,161,1.9874,2.0,2.0,2.0,8,2,5,True
57,57,4,177,1.9828,2.0,2.0,2.0,8,4,2,True
58,58,4,164,1.9838,2.0,2.0,2.0,8,2,4,True
59,59,4,119,1.9642,2.0,2.0,2.0,7,2,3,True
60,60,4,134,1.9648,2.0,2.0,2.0,7,2,0,False
61,61,4,114,1.9734,2.0,2.0,2.0,7,2,1,False
62,62,4,50,1.9662,2.0,2.0,2.0,5,1,1,True
63,63,4,162,1.9898,2.0,2.0,2.0,8,3,2,True
64,64,4,91,1.9776,2.0,2.0,2.0,6,1,0,False
65,65,4,61,1.9702,2.0,2.0,2.0,5,0,2,True
66,66,4,87,1.9842,2.0,2.0,2.0,6,2,1,False
67,67,4,169,1.9772,2.0,2.0,2.0,8,2,3,True
68,68,4,171,1.9746,2.0,2.0,2.0,8,2,4,True
69,69,4,136,1.978,2.0,2.0,2.0,7,1,0,False
70,70,4,128,1.9696,2.0,2.0,2.0,7,2,0,False
71,71,4,190,1.9818,2.0,2.0,2.0,9,3,5,True
72,72,4,89,1.9576,2.0,2.0,2.0,6,2,0,False
73,73,4,55,1.9704,2.0,2.0,2.0,5,1,0,False
74,74,4,117,1.983,2.0,2.0,2.0,7,2,1,False
75,75,4,198,1.9924,2.0,2.0,2.0,12,6,14,True
76,76,4,109,1.9724,2.0,2.0,2.0,6,2,1,True
77,77,4,113,1.9796,2.0,2.0,2.0,6,1,0,False
78,78,4,54,1.9682,2.0,2.0,2.0,5,1,0,False
79,79,4,13,1.9722,2.0,2.0,2.0,4,1,0,False
80,80,4,103,1.9666,2.0,2.0,2.0,6,1,2,True
81,81,4,166,1.9438,2.0,2.0,2.0,8,2,4,True
82,82,4,88,1.9772,2.0,2.0,2.0,6,1,2,True
83,83,4,26,1.956,2.0,2.0,2.0,4,1,0,False
84,84,4,20,1.9662,2.0,2.0,2.0,4,0,0,False
85,85,4,10,1.9712000000000005,2.0,2.0,2.0,4,1,0,False
86,86,4,80,1.9806,2.0,2.0,2.0,6,1,0,False
87,87,4,78,1.9786,2.0,2.0,2.0,6,1,2,True
88,88,4,107,1.9804,2.0,2.0,2.0,6,1,1,False
89,89,4,178,1.9758,2.0,2.0,2.0,8,2,5,True
90,90,4,126,1.985,2.0,2.0,2.0,7,1,3,True
91,91,4,100,1.9806,2.0,2.0,2.0,6,2,0,False
92,92,4,98,1.9484,2.0,2.0,2.0,6,1,2,True
93,93,4,18,1.9912,2.0,2.0,2.0,4,0,0,False
94,94,4,116,1.9752000000000005,2.0,2.0,2.0,7,3,2,False
95,95,4,59,1.9814,2.0,2.0,2.0,5,1,0,False
96,96,4,29,1.9844,2.0,2.0,2.0,4,0,1,True
97,97,4,187,1.9628,2.0,2.0,2.0,9,3,7,True
98,98,4,76,1.9906,2.0,2.0,2.0,6,1,1,False
99,99,4,58,1.9818,2.0,2.0,2.0,5,0,0,False
100,100,4,66,1.9898,2.0,2.0,2.0,5,1,0,False
101,101,4,84,1.9524,2.0,2.0,2.0,6,2,1,False
102,102,4,83,1.97,2.0,2.0,2.0,6,0,1,False
103,103,4,172,1.9938,2.0,2.0,2.0,8,2,1,False
104,104,4,121,1.9824,2.0,2.0,2.0,7,2,1,False
105,105,4,77,1.9888,2.0,2.0,2.0,6,1,2,True
106,106,4,32,1.9684,2.0,2.0,2.0,5,1,1,False
107,107,4,120,1.974,2.0,2.0,2.0,7,2,2,True
108,108,4,154,1.9652,2.0,2.0,2.0,8,3,2,True
109,109,4,158,1.9642,2.0,2.0,2.0,8,4,2,True
110,110,4,99,1.978,2.0,2.0,2.0,6,2,0,False
111,111,4,75,1.9692,2.0,2.0,2.0,6,2,1,True
112,112,4,182,1.9582,2.0,2.0,2.0,9,3,4,True
113,113,4,21,1.9694,2.0,2.0,2.0,4,0,1,False
114,114,4,4,1.986,2.0,2.0,2.0,3,0,0,False
115,115,4,64,1.9728,2.0,2.0,2.0,5,0,0,False
116,116,4,81,1.9824,2.0,2.0,2.0,6,0,0,False
117,117,4,93,1.9958,2.0,2.0,2.0,6,2,1,True
118,118,4,142,1.9854000000000005,2.0,2.0,2.0,7,2,1,False
119,119,4,52,1.9718,2.0,2.0,2.0,5,2,0,False
120,120,4,157,1.9768,2.0,2.0,2.0,8,2,0,False
121,121,4,151,1.9564000000000004,2.0,2.0,2.0,7,1,3,True
122,122,4,41,1.9642,2.0,2.0,2.0,5,2,0,False
123,123,4,38,1.9709999999999999,2.0,2.0,2.0,5,1,0,False
124,124,4,33,1.972,2.0,2.0,2.0,5,1,0,False
125,125,4,14,1.9758,2.0,2.0,2.0,4,1,0,False
126,126,4,188,1.9626,2.0,2.0,2.0,9,3,6,True
127,127,4,102,1.9716,2.0,2.0,2.0,6,1,2,True
128,128,4,173,1.961,2.0,2.0,2.0,8,3,2,False
129,129,4,35,1.9582,2.0,2.0,2.0,5,1,0,False
130,130,4,82,1.9638,2.0,2.0,2.0,6,1,0,False
131,131,4,175,1.98,2.0,2.0,2.0,8,3,3,True
132,132,4,132,1.9934,2.0,2.0,2.0,7,2,2,True
133,133,4,124,1.9736,2.0,2.0,2.0,7,2,2,True
134,134,4,22,1.985,2.0,2.0,2.0,4,1,0,False
135,135,4,130,1.9616,2.0,2.0,2.0,7,2,2,True
136,136,4,192,1.9848,2.0,2.0,2.0,10,4,6,True
137,137,4,19,1.969,2.0,2.0,2.0,4,0,0,False
138,138,4,137,1.9816,2.0,2.0,2.0,7,3,2,False
139,139,4,17,1.9746,2.0,2.0,2.0,4,0,0,False
140,140,4,90,1.9592,2.0,2.0,2.0,6,1,0,False
141,141,4,159,1.9742,2.0,2.0,2.0,8,3,4,True
142,142,4,56,1.9796,2.0,2.0,2.0,5,0,0,False
143,143,4,23,1.9854000000000005,2.0,2.0,2.0,4,0,0,False
144,144,4,9,1.9680000000000002,2.0,2.0,2.0,4,0,0,False
145,145,4,96,1.9922,2.0,2.0,2.0,6,1,1,False
146,146,4,148,1.9534,2.0,2.0,2.0,7,2,2,True
147,147,4,127,1.9842,2.0,2.0,2.0,7,2,0,False
148,148,4,133,1.9734000000000005,2.0,2.0,2.0,7,1,0,False
149,149,4,180,1.9398,2.0,2.0,2.0,9,4,4,True
150,150,4,73,1.9712,2.0,2.0,2.0,6,1,0,False
151,151,4,51,1.9928,2.0,2.0,2.0,5,1,1,True
152,152,4,31,1.9832,2.0,2.0,2.0,5,2,0,False
153,153,4,145,1.965,2.0,2.0,2.0,7,2,2,True
154,154,4,184,1.9664,2.0,2.0,2.0,9,3,3,True
155,155,4,85,1.9704,2.0,2.0,2.0,6,2,1,False
156,156,4,53,1.9812,2.0,2.0,2.0,5,1,0,False
157,157,4,25,1.9766,2.0,2.0,2.0,4,1,0,False
158,158,4,71,1.9846,2.0,2.0,2.0,6,2,0,False
159,159,4,186,1.9880000000000002,2.0,2.0,2.0,9,3,6,True
160,160,4,152,1.9946,2.0,2.0,2.0,8,3,2,False
161,161,4,63,1.9872,2.0,2.0,2.0,5,1,0,False
162,162,4,45,1.9806,2.0,2.0,2.0,5,2,0,False
163,163,4,86,1.9680000000000002,2.0,2.0,2.0,6,2,1,False
164,164,4,139,1.9732,2.0,2.0,2.0,7,2,3,True
165,165,4,167,1.9664,2.0,2.0,2.0,8,3,2,True
166,166,4,191,1.9918,2.0,2.0,2.0,9,3,2,False
167,167,4,36,1.969,2.0,2.0,2.0,5,0,0,False
168,168,4,174,1.9802,2.0,2.0,2.0,8,2,5,True
169,169,4,110,1.9616,2.0,2.0,2.0,6,0,3,True
170,170,4,40,1.984,2.0,2.0,2.0,5,1,0,False
171,171,4,34,1.9824,2.0,2.0,2.0,5,0,0,False
172,172,4,11,1.992,2.0,2.0,2.0,4,1,0,False
173,173,4,3,1.9792,2.0,2.0,2.0,3,0,0,False
174,174,4,146,1.977,2.0,2.0,2.0,7,2,2,True
175,175,4,165,1.9854,2.0,2.0,2.0,8,3,3,True
176,176,4,1,1.9810000000000003,2.0,2.0,2.0,3,0,0,False
177,177,4,123,1.9806,2.0,2.0,2.0,7,2,2,True
178,178,4,106,1.9716,2.0,2.0,2.0,6,1,1,False
179,179,4,163,1.9804,2.0,2.0,2.0,8,3,2,True
180,180,4,42,1.9542,2.0,2.0,2.0,5,1,1,False
181,181,4,150,1.9704,2.0,2.0,2.0,7,2,2,True
182,182,4,141,1.9678,2.0,2.0,2.0,7,2,1,False
183,183,4,129,1.9804,2.0,2.0,2.0,7,1,1,False
184,184,4,47,1.9538,2.0,2.0,2.0,5,1,1,False
185,185,4,179,1.9682,2.0,2.0,2.0,9,3,2,False
186,186,4,30,1.9728,2.0,2.0,2.0,5,1,0,False
187,187,4,43,1.9782,2.0,2.0,2.0,5,1,0,False
188,188,4,105,1.9648,2.0,2.0,2.0,6,1,1,False
189,189,4,185,1.962,2.0,2.0,2.0,9,4,4,True
190,190,4,135,1.965,2.0,2.0,2.0,7,1,1,False
191,191,4,193,1.9856000000000005,2.0,2.0,2.0,10,5,6,True
192,192,4,144,1.9868,2.0,2.0,2.0,7,1,4,True
193,193,4,155,1.986,2.0,2.0,2.0,8,3,3,True
194,194,4,79,1.9736,2.0,2.0,2.0,6,2,0,False
195,195,4,125,1.9864,2.0,2.0,2.0,7,2,2,True
196,196,4,2,1.9848,2.0,2.0,2.0,3,0,0,False
197,197,4,153,1.9304,2.0,2.0,2.0,8,2,1,False
198,198,4,194,1.9880000000000002,2.0,2.0,2.0,10,4,8,True
