,Unnamed: 0,nodes,id,avg_avg_fit,min_best_fit,max_best_fit,avg_best_fit,num_edges,two_cycles,long_cycles,strongly_connected
0,0,11,448,1.9655272727272723,2.0,2.0,2.0,35,9,102,True
1,1,11,153,1.980872727272728,1.981818181818182,2.0,1.9981818181818185,40,5,879,False
2,2,11,238,1.9660363636363636,1.981818181818182,2.0,1.9981818181818185,40,7,503,True
3,3,11,247,1.9625454545454544,2.0,2.0,2.0,39,4,174,True
4,4,11,461,1.9758545454545453,2.0,2.0,2.0,38,6,534,True
5,5,11,279,1.9705454545454544,1.981818181818182,2.0,1.9981818181818185,36,7,120,False
6,6,11,59,1.9714181818181815,2.0,2.0,2.0,40,4,758,True
7,7,11,197,1.9704727272727272,1.981818181818182,2.0,1.9981818181818185,38,10,235,True
8,8,11,286,1.9778909090909087,2.0,2.0,2.0,36,10,306,True
9,9,11,242,1.9754909090909087,2.0,2.0,2.0,35,5,316,True
10,10,11,341,1.9688727272727276,1.981818181818182,2.0,1.9981818181818185,36,9,161,True
11,11,11,283,1.9736,2.0,2.0,2.0,39,8,719,True
12,12,11,15,1.9757090909090909,2.0,2.0,2.0,41,7,918,True
13,13,11,328,1.9648727272727269,1.981818181818182,2.0,1.9981818181818185,39,11,250,False
14,14,11,414,1.9703272727272725,2.0,2.0,2.0,39,10,542,True
15,15,11,117,1.9771636363636365,2.0,2.0,2.0,37,6,693,True
16,16,11,391,1.9640727272727272,2.0,2.0,2.0,35,5,316,True
17,17,11,225,1.9791272727272728,2.0,2.0,2.0,37,4,133,False
18,18,11,53,1.9734545454545451,2.0,2.0,2.0,38,10,175,False
19,19,11,481,1.974545454545455,2.0,2.0,2.0,36,5,125,False
20,20,11,372,1.9666181818181816,1.981818181818182,2.0,1.9981818181818185,39,7,279,True
21,21,11,289,1.9690909090909088,2.0,2.0,2.0,40,10,626,True
22,22,11,496,1.9752,2.0,2.0,2.0,34,9,195,True
23,23,11,91,1.9717090909090909,2.0,2.0,2.0,36,5,434,True
24,24,11,236,1.9805818181818184,2.0,2.0,2.0,36,4,506,True
25,25,11,267,1.9544727272727271,2.0,2.0,2.0,37,5,168,False
26,26,11,204,1.9746909090909093,2.0,2.0,2.0,38,8,285,False
27,27,11,495,1.970763636363636,1.981818181818182,2.0,1.998181818181818,36,9,196,True
28,28,11,200,1.9633454545454547,2.0,2.0,2.0,40,9,770,True
29,29,11,94,1.9729454545454543,2.0,2.0,2.0,34,5,212,True
30,30,11,299,1.9723636363636363,1.981818181818182,2.0,1.9963636363636368,41,9,478,True
31,31,11,28,1.978036363636364,1.981818181818182,2.0,1.998181818181818,39,5,218,False
32,32,11,245,1.9719272727272728,2.0,2.0,2.0,32,5,122,False
33,33,11,103,1.9626181818181818,2.0,2.0,2.0,37,6,198,False
34,34,11,295,1.9781818181818185,2.0,2.0,2.0,37,4,132,False
35,35,11,175,1.9831272727272728,2.0,2.0,2.0,39,9,337,True
36,36,11,133,1.9690181818181818,2.0,2.0,2.0,37,7,323,True
37,37,11,382,1.9544727272727271,2.0,2.0,2.0,39,6,667,True
38,38,11,0,1.9672,1.981818181818182,2.0,1.9981818181818185,41,8,659,True
39,39,11,253,1.9709090909090912,2.0,2.0,2.0,35,5,188,True
40,40,11,302,1.978036363636364,2.0,2.0,2.0,40,7,494,False
41,41,11,237,1.9533090909090909,1.981818181818182,2.0,1.998181818181818,38,5,439,False
42,42,11,77,1.9880727272727277,2.0,2.0,2.0,38,11,181,True
43,43,11,329,1.9557090909090904,2.0,2.0,2.0,38,9,337,True
44,44,11,37,1.969672727272728,2.0,2.0,2.0,40,7,1091,True
45,45,11,326,1.9853818181818184,2.0,2.0,2.0,34,8,84,False
46,46,11,250,1.9690909090909088,2.0,2.0,2.0,36,4,575,True
47,47,11,90,1.9752727272727268,2.0,2.0,2.0,35,6,113,False
48,48,11,45,1.9669090909090907,2.0,2.0,2.0,39,10,721,True
49,49,11,275,1.9696727272727272,2.0,2.0,2.0,38,4,405,False
50,50,11,365,1.9739636363636364,1.981818181818182,2.0,1.9981818181818185,39,7,455,True
51,51,11,319,1.9656,1.981818181818182,2.0,1.9981818181818185,38,7,205,True
52,52,11,222,1.979854545454545,2.0,2.0,2.0,38,8,774,True
53,53,11,151,1.9774545454545451,2.0,2.0,2.0,40,9,407,True
54,54,11,216,1.9750545454545456,2.0,2.0,2.0,35,5,207,True
55,55,11,127,1.981381818181818,2.0,2.0,2.0,37,7,306,True
56,56,11,205,1.9734545454545451,2.0,2.0,2.0,39,8,392,True
57,57,11,440,1.9714181818181815,1.981818181818182,2.0,1.9981818181818185,41,10,712,True
58,58,11,155,1.9746181818181816,2.0,2.0,2.0,34,5,87,False
59,59,11,98,1.9613818181818183,1.981818181818182,2.0,1.9981818181818185,42,11,1237,True
60,60,11,288,1.9613090909090911,1.981818181818182,2.0,1.9981818181818185,35,4,197,False
61,61,11,196,1.9897454545454545,2.0,2.0,2.0,39,9,355,False
62,62,11,316,1.9807272727272731,2.0,2.0,2.0,38,6,352,False
63,63,11,76,1.9670545454545452,2.0,2.0,2.0,39,8,486,True
64,64,11,321,1.9673454545454547,2.0,2.0,2.0,37,7,331,True
65,65,11,55,1.968509090909091,2.0,2.0,2.0,39,9,205,False
66,66,11,285,1.9597090909090908,1.981818181818182,2.0,1.9963636363636368,41,11,727,True
67,67,11,464,1.9686545454545457,2.0,2.0,2.0,38,8,136,True
68,68,11,11,1.9674181818181815,2.0,2.0,2.0,37,6,86,False
69,69,11,54,1.9849454545454543,2.0,2.0,2.0,37,10,627,True
70,70,11,106,1.973236363636364,2.0,2.0,2.0,40,10,767,True
71,71,11,137,1.9766545454545452,2.0,2.0,2.0,39,5,476,True
72,72,11,18,1.9592727272727275,1.981818181818182,2.0,1.9981818181818185,35,5,143,False
73,73,11,401,1.972509090909091,2.0,2.0,2.0,42,7,1764,True
74,74,11,256,1.9623272727272727,2.0,2.0,2.0,35,9,153,True
75,75,11,475,1.9839272727272723,2.0,2.0,2.0,34,5,313,True
76,76,11,249,1.9722181818181816,2.0,2.0,2.0,39,11,323,True
77,77,11,206,1.9690909090909088,2.0,2.0,2.0,36,8,168,False
78,78,11,70,1.9673454545454547,2.0,2.0,2.0,40,8,131,False
79,79,11,215,1.9695272727272728,2.0,2.0,2.0,38,7,137,False
80,80,11,468,1.9730181818181818,2.0,2.0,2.0,37,5,296,False
81,81,11,470,1.9789818181818175,2.0,2.0,2.0,40,7,589,True
82,82,11,179,1.9812363636363641,2.0,2.0,2.0,43,7,1498,True
83,83,11,460,1.9776,2.0,2.0,2.0,39,8,475,True
84,84,11,318,1.9665454545454544,2.0,2.0,2.0,36,7,253,True
85,85,11,369,1.9874909090909088,2.0,2.0,2.0,37,10,329,True
86,86,11,420,1.9472727272727277,1.981818181818182,2.0,1.9963636363636368,39,10,325,False
87,87,11,118,1.9816727272727277,2.0,2.0,2.0,40,7,748,True
88,88,11,224,1.949018181818182,1.981818181818182,2.0,1.998181818181818,38,9,292,True
