,nodes,id,avg_avg_fit,min_best_fit,max_best_fit,avg_best_fit
0,9,395,1.9747555555555558,2.0,2.0,2.0
1,9,369,1.9673777777777777,2.0,2.0,2.0
2,9,80,1.9472888888888888,2.0,2.0,2.0
3,9,166,1.9672888888888889,2.0,2.0,2.0
4,9,100,1.9796444444444443,2.0,2.0,2.0
5,9,218,1.9798222222222226,2.0,2.0,2.0
6,9,487,1.9721777777777778,2.0,2.0,2.0
7,9,417,1.9529777777777777,2.0,2.0,2.0
8,9,73,1.9756444444444443,2.0,2.0,2.0
9,9,371,1.9691555555555555,2.0,2.0,2.0
10,9,409,1.9740444444444445,2.0,2.0,2.0
11,9,48,1.9768000000000001,2.0,2.0,2.0
12,9,296,1.9658666666666664,2.0,2.0,2.0
13,9,426,1.9725333333333335,2.0,2.0,2.0
14,9,25,1.9752888888888886,2.0,2.0,2.0
15,9,305,1.9807111111111113,2.0,2.0,2.0
16,9,2,1.9829333333333334,2.0,2.0,2.0
17,9,339,1.9756444444444443,2.0,2.0,2.0
18,9,244,1.9663999999999997,2.0,2.0,2.0
19,9,199,1.972888888888889,2.0,2.0,2.0
20,9,263,1.9767111111111113,2.0,2.0,2.0
21,9,343,1.9744888888888892,2.0,2.0,2.0
22,9,78,1.9644444444444442,2.0,2.0,2.0
23,9,375,1.9735999999999998,1.9777777777777779,2.0,1.9955555555555555
24,9,254,1.970222222222222,2.0,2.0,2.0
25,9,348,1.9352888888888884,1.9777777777777779,2.0,1.9977777777777779
26,9,257,1.9542222222222219,2.0,2.0,2.0
27,9,284,1.9696888888888886,2.0,2.0,2.0
28,9,346,1.9625777777777778,2.0,2.0,2.0
29,9,243,1.9675555555555555,2.0,2.0,2.0
30,9,273,1.9693333333333336,2.0,2.0,2.0
31,9,270,1.964533333333333,2.0,2.0,2.0
32,9,188,1.9744888888888887,2.0,2.0,2.0
33,9,314,1.9754666666666665,2.0,2.0,2.0
34,9,359,1.9722666666666666,2.0,2.0,2.0
35,9,470,1.9606222222222218,2.0,2.0,2.0
36,9,92,1.9661333333333335,2.0,2.0,2.0
37,9,267,1.980622222222222,2.0,2.0,2.0
38,9,385,1.9649777777777775,2.0,2.0,2.0
39,9,388,1.9681777777777776,2.0,2.0,2.0
40,9,294,1.9814222222222224,2.0,2.0,2.0
41,9,203,1.978222222222222,2.0,2.0,2.0
42,9,460,1.959733333333333,2.0,2.0,2.0
43,9,61,1.9620444444444445,2.0,2.0,2.0
44,9,106,1.9726222222222218,1.9777777777777779,2.0,1.9977777777777779
45,9,318,1.9647999999999999,1.9777777777777779,2.0,1.9977777777777779
46,9,249,1.9808,2.0,2.0,2.0
47,9,45,1.9844444444444442,2.0,2.0,2.0
48,9,235,1.9766222222222223,2.0,2.0,2.0
49,9,29,1.9807111111111113,2.0,2.0,2.0
50,9,483,1.9584,2.0,2.0,2.0
51,9,250,1.9718222222222224,2.0,2.0,2.0
52,9,484,1.9522666666666666,2.0,2.0,2.0
53,9,190,1.9532444444444443,2.0,2.0,2.0
54,9,172,1.9838222222222224,2.0,2.0,2.0
55,9,178,1.9793777777777777,2.0,2.0,2.0
56,9,454,1.9783111111111107,2.0,2.0,2.0
57,9,289,1.985511111111111,2.0,2.0,2.0
58,9,163,1.9512,2.0,2.0,2.0
59,9,259,1.9685333333333332,2.0,2.0,2.0
60,9,256,1.9593777777777777,1.9777777777777779,2.0,1.9977777777777779
61,9,90,1.9740444444444445,2.0,2.0,2.0
62,9,419,1.9724444444444444,2.0,2.0,2.0
63,9,157,1.9784888888888887,2.0,2.0,2.0
64,9,364,1.9393777777777779,2.0,2.0,2.0
65,9,276,1.9693333333333332,2.0,2.0,2.0
66,9,159,1.9784,2.0,2.0,2.0
67,9,51,1.9744888888888892,2.0,2.0,2.0
68,9,216,1.9843555555555557,2.0,2.0,2.0
69,9,383,1.9753777777777777,2.0,2.0,2.0
70,9,37,1.9746666666666666,1.9777777777777779,2.0,1.9977777777777779
71,9,405,1.9742222222222225,2.0,2.0,2.0
72,9,206,1.966133333333333,2.0,2.0,2.0
73,9,372,1.9637333333333333,2.0,2.0,2.0
74,9,81,1.9793777777777777,2.0,2.0,2.0
75,9,435,1.9738666666666667,2.0,2.0,2.0
76,9,79,1.9757333333333331,2.0,2.0,2.0
77,9,362,1.9703111111111113,2.0,2.0,2.0
78,9,374,1.9793777777777772,2.0,2.0,2.0
79,9,391,1.9647999999999999,2.0,2.0,2.0
80,9,377,1.9696888888888886,2.0,2.0,2.0
81,9,290,1.9709333333333334,2.0,2.0,2.0
82,9,54,1.9668444444444446,2.0,2.0,2.0
83,9,228,1.9675555555555557,1.9777777777777779,2.0,1.9977777777777779
84,9,191,1.9686222222222223,2.0,2.0,2.0
85,9,119,1.9674666666666667,2.0,2.0,2.0
86,9,382,1.9681777777777776,2.0,2.0,2.0
87,9,283,1.9665777777777778,2.0,2.0,2.0
88,9,384,1.975022222222222,2.0,2.0,2.0
89,9,442,1.9546666666666668,2.0,2.0,2.0
90,9,491,1.9741333333333333,2.0,2.0,2.0
91,9,238,1.9784,2.0,2.0,2.0
92,9,194,1.976088888888889,2.0,2.0,2.0
93,9,98,1.9775111111111112,2.0,2.0,2.0
94,9,418,1.9680888888888888,2.0,2.0,2.0
95,9,237,1.976888888888889,2.0,2.0,2.0
96,9,110,1.9733333333333334,2.0,2.0,2.0
97,9,205,1.9759999999999998,2.0,2.0,2.0
98,9,456,1.9752000000000003,2.0,2.0,2.0
99,9,406,1.970222222222222,2.0,2.0,2.0
100,9,482,1.9812444444444446,2.0,2.0,2.0
101,9,303,1.9642666666666666,2.0,2.0,2.0
102,9,366,1.970133333333333,1.9777777777777779,2.0,1.9977777777777779
103,9,131,1.9620444444444445,2.0,2.0,2.0
104,9,396,1.9696000000000002,1.9777777777777779,2.0,1.9977777777777779
105,9,40,1.9636444444444447,2.0,2.0,2.0
106,9,32,1.9647111111111109,2.0,2.0,2.0
107,9,17,1.976977777777778,2.0,2.0,2.0
108,9,210,1.9730666666666667,1.9777777777777779,2.0,1.9977777777777779
109,9,76,1.9677333333333333,2.0,2.0,2.0
