,nodes,id,avg_avg_fit,min_best_fit,max_best_fit,avg_best_fit
0,4,48,1.9944000000000002,2.0,2.0,2.0
1,4,147,1.9942000000000004,2.0,2.0,2.0
2,4,92,1.9616,2.0,2.0,2.0
3,4,49,1.9744,2.0,2.0,2.0
4,4,156,1.9676000000000002,2.0,2.0,2.0
5,4,6,1.9766,2.0,2.0,2.0
6,4,94,1.9698,2.0,2.0,2.0
7,4,122,1.9894000000000003,2.0,2.0,2.0
8,4,39,1.9748,2.0,2.0,2.0
9,4,62,1.9687999999999999,2.0,2.0,2.0
10,4,27,1.966,2.0,2.0,2.0
11,4,28,1.9724,2.0,2.0,2.0
12,4,195,1.9882000000000002,2.0,2.0,2.0
13,4,115,1.9646000000000001,2.0,2.0,2.0
14,4,7,1.9848,2.0,2.0,2.0
15,4,70,1.988,2.0,2.0,2.0
16,4,46,1.9773999999999998,2.0,2.0,2.0
17,4,168,1.9632,2.0,2.0,2.0
18,4,112,1.9888000000000001,2.0,2.0,2.0
19,4,74,1.9764,2.0,2.0,2.0
20,4,138,1.9832,2.0,2.0,2.0
21,4,131,1.9731999999999998,2.0,2.0,2.0
22,4,68,1.9741999999999997,2.0,2.0,2.0
23,4,65,1.9724,2.0,2.0,2.0
24,4,16,1.9644,2.0,2.0,2.0
25,4,97,1.9822000000000002,2.0,2.0,2.0
26,4,69,1.9722000000000002,2.0,2.0,2.0
27,4,104,1.9678,2.0,2.0,2.0
28,4,196,1.9684000000000001,2.0,2.0,2.0
29,4,101,1.967,2.0,2.0,2.0
30,4,5,1.9764,2.0,2.0,2.0
31,4,72,1.9714000000000003,2.0,2.0,2.0
32,4,108,1.964,2.0,2.0,2.0
33,4,183,1.9808,2.0,2.0,2.0
34,4,12,1.9718,2.0,2.0,2.0
35,4,181,1.9518,2.0,2.0,2.0
36,4,176,1.9629999999999999,2.0,2.0,2.0
37,4,118,1.9718000000000004,2.0,2.0,2.0
38,4,149,1.9864000000000002,2.0,2.0,2.0
39,4,57,1.9665999999999997,2.0,2.0,2.0
40,4,160,1.9602,2.0,2.0,2.0
41,4,37,1.9815999999999998,2.0,2.0,2.0
42,4,15,1.9792,2.0,2.0,2.0
43,4,140,1.9919999999999998,2.0,2.0,2.0
44,4,189,1.9988000000000004,2.0,2.0,2.0
45,4,67,1.9758,2.0,2.0,2.0
46,4,60,1.9774,2.0,2.0,2.0
47,4,44,1.9726,2.0,2.0,2.0
48,4,197,1.9618000000000002,2.0,2.0,2.0
49,4,111,1.9816000000000003,2.0,2.0,2.0
50,4,8,1.9886,2.0,2.0,2.0
51,4,170,1.985,2.0,2.0,2.0
52,4,95,1.9868,2.0,2.0,2.0
53,4,143,1.9826000000000001,2.0,2.0,2.0
54,4,0,1.9768000000000001,2.0,2.0,2.0
55,4,24,1.9782,2.0,2.0,2.0
56,4,161,1.9873999999999998,2.0,2.0,2.0
57,4,177,1.9828,2.0,2.0,2.0
58,4,164,1.9838,2.0,2.0,2.0
59,4,119,1.9642,2.0,2.0,2.0
60,4,134,1.9647999999999999,2.0,2.0,2.0
61,4,114,1.9733999999999998,2.0,2.0,2.0
62,4,50,1.9662000000000002,2.0,2.0,2.0
63,4,162,1.9898,2.0,2.0,2.0
64,4,91,1.9776,2.0,2.0,2.0
65,4,61,1.9702000000000002,2.0,2.0,2.0
66,4,87,1.9842,2.0,2.0,2.0
67,4,169,1.9771999999999998,2.0,2.0,2.0
68,4,171,1.9746000000000001,2.0,2.0,2.0
69,4,136,1.9779999999999998,2.0,2.0,2.0
70,4,128,1.9695999999999998,2.0,2.0,2.0
71,4,190,1.9818000000000002,2.0,2.0,2.0
72,4,89,1.9576,2.0,2.0,2.0
73,4,55,1.9704000000000002,2.0,2.0,2.0
74,4,117,1.983,2.0,2.0,2.0
75,4,198,1.9924,2.0,2.0,2.0
76,4,109,1.9724,2.0,2.0,2.0
77,4,113,1.9796,2.0,2.0,2.0
78,4,54,1.9682,2.0,2.0,2.0
79,4,13,1.9721999999999997,2.0,2.0,2.0
80,4,103,1.9666000000000001,2.0,2.0,2.0
81,4,166,1.9438,2.0,2.0,2.0
82,4,88,1.9771999999999998,2.0,2.0,2.0
83,4,26,1.956,2.0,2.0,2.0
84,4,20,1.9662,2.0,2.0,2.0
85,4,10,1.9712000000000003,2.0,2.0,2.0
86,4,80,1.9805999999999997,2.0,2.0,2.0
87,4,78,1.9785999999999997,2.0,2.0,2.0
88,4,107,1.9804000000000002,2.0,2.0,2.0
89,4,178,1.9758000000000002,2.0,2.0,2.0
90,4,126,1.985,2.0,2.0,2.0
91,4,100,1.9805999999999997,2.0,2.0,2.0
92,4,98,1.9484000000000001,2.0,2.0,2.0
93,4,18,1.9911999999999999,2.0,2.0,2.0
94,4,116,1.9752000000000003,2.0,2.0,2.0
95,4,59,1.9814,2.0,2.0,2.0
96,4,29,1.9844000000000002,2.0,2.0,2.0
97,4,187,1.9628,2.0,2.0,2.0
98,4,76,1.9906,2.0,2.0,2.0
99,4,58,1.9817999999999998,2.0,2.0,2.0
100,4,66,1.9898,2.0,2.0,2.0
101,4,84,1.9524000000000001,2.0,2.0,2.0
102,4,83,1.9700000000000002,2.0,2.0,2.0
103,4,172,1.9937999999999998,2.0,2.0,2.0
104,4,121,1.9823999999999997,2.0,2.0,2.0
105,4,77,1.9888000000000001,2.0,2.0,2.0
106,4,32,1.9684000000000001,2.0,2.0,2.0
107,4,120,1.9740000000000002,2.0,2.0,2.0
108,4,154,1.9652,2.0,2.0,2.0
109,4,158,1.9642,2.0,2.0,2.0
