,nodes,id,avg_avg_fit,min_best_fit,max_best_fit,avg_best_fit
0,8,116,1.9797999999999998,2.0,2.0,2.0
1,8,291,1.955,2.0,2.0,2.0
2,8,199,1.9764000000000004,2.0,2.0,2.0
3,8,389,1.9849,2.0,2.0,2.0
4,8,434,1.9894999999999996,2.0,2.0,2.0
5,8,61,1.9815000000000005,2.0,2.0,2.0
6,8,214,1.975,2.0,2.0,2.0
7,8,135,1.9857,2.0,2.0,2.0
8,8,223,1.9846,2.0,2.0,2.0
9,8,197,1.9719000000000002,2.0,2.0,2.0
10,8,470,1.9798000000000002,2.0,2.0,2.0
11,8,381,1.9642,2.0,2.0,2.0
12,8,323,1.9745000000000001,2.0,2.0,2.0
13,8,138,1.9838999999999998,2.0,2.0,2.0
14,8,22,1.9701,2.0,2.0,2.0
15,8,244,1.9674000000000003,2.0,2.0,2.0
16,8,365,1.9698,2.0,2.0,2.0
17,8,132,1.9725000000000001,2.0,2.0,2.0
18,8,198,1.9716999999999998,2.0,2.0,2.0
19,8,62,1.9767,2.0,2.0,2.0
20,8,449,1.9674,2.0,2.0,2.0
21,8,227,1.9857,2.0,2.0,2.0
22,8,428,1.982,2.0,2.0,2.0
23,8,179,1.9726,2.0,2.0,2.0
24,8,58,1.9846,2.0,2.0,2.0
25,8,355,1.9834,2.0,2.0,2.0
26,8,368,1.9849,2.0,2.0,2.0
27,8,469,1.9771,2.0,2.0,2.0
28,8,86,1.9814000000000003,2.0,2.0,2.0
29,8,64,1.9683,1.975,2.0,1.9975
30,8,59,1.9672999999999998,2.0,2.0,2.0
31,8,311,1.9839999999999995,2.0,2.0,2.0
32,8,124,1.9731,2.0,2.0,2.0
33,8,290,1.9882000000000002,2.0,2.0,2.0
34,8,186,1.9783000000000002,2.0,2.0,2.0
35,8,125,1.9828999999999997,2.0,2.0,2.0
36,8,313,1.9719000000000002,2.0,2.0,2.0
37,8,146,1.9643000000000002,2.0,2.0,2.0
38,8,282,1.9807,2.0,2.0,2.0
39,8,60,1.9591,2.0,2.0,2.0
40,8,280,1.9767,2.0,2.0,2.0
41,8,236,1.9789,2.0,2.0,2.0
42,8,71,1.9768000000000001,2.0,2.0,2.0
43,8,325,1.9792999999999998,2.0,2.0,2.0
44,8,85,1.9878,2.0,2.0,2.0
45,8,480,1.9813000000000003,2.0,2.0,2.0
46,8,130,1.9766,2.0,2.0,2.0
47,8,378,1.9755000000000003,2.0,2.0,2.0
48,8,34,1.9861999999999997,2.0,2.0,2.0
49,8,0,1.9713999999999998,2.0,2.0,2.0
50,8,6,1.9799,2.0,2.0,2.0
51,8,114,1.9804,2.0,2.0,2.0
52,8,150,1.9888000000000001,2.0,2.0,2.0
