,nodes,id,avg_avg_fit,min_best_fit,max_best_fit,avg_best_fit
0,5,122,1.96448,2.0,2.0,2.0
1,5,38,1.9606400000000002,2.0,2.0,2.0
2,5,110,1.9756799999999999,2.0,2.0,2.0
3,5,208,1.9593600000000002,2.0,2.0,2.0
4,5,166,1.97552,2.0,2.0,2.0
5,5,133,1.9755200000000002,2.0,2.0,2.0
6,5,33,1.97904,2.0,2.0,2.0
7,5,175,1.9657600000000002,2.0,2.0,2.0
8,5,241,1.9672000000000005,2.0,2.0,2.0
9,5,26,1.9745600000000003,2.0,2.0,2.0
10,5,44,1.9886400000000002,2.0,2.0,2.0
11,5,202,1.96048,2.0,2.0,2.0
12,5,99,1.98128,2.0,2.0,2.0
13,5,97,1.9748800000000002,2.0,2.0,2.0
14,5,219,1.9723200000000003,2.0,2.0,2.0
15,5,173,1.9683200000000003,2.0,2.0,2.0
16,5,255,1.96224,2.0,2.0,2.0
17,5,163,1.9785600000000003,2.0,2.0,2.0
18,5,57,1.9689600000000003,2.0,2.0,2.0
19,5,227,1.9803200000000003,2.0,2.0,2.0
20,5,159,1.96128,2.0,2.0,2.0
21,5,66,1.9689599999999998,2.0,2.0,2.0
22,5,52,1.98656,2.0,2.0,2.0
23,5,45,1.9787199999999998,2.0,2.0,2.0
24,5,145,1.9843199999999999,2.0,2.0,2.0
25,5,172,1.9753599999999998,2.0,2.0,2.0
26,5,151,1.96464,2.0,2.0,2.0
27,5,54,1.9792,2.0,2.0,2.0
28,5,160,1.9744,2.0,2.0,2.0
29,5,75,1.9833600000000005,2.0,2.0,2.0
30,5,120,1.9635200000000002,2.0,2.0,2.0
31,5,168,1.98352,2.0,2.0,2.0
32,5,128,1.9761600000000001,2.0,2.0,2.0
33,5,192,1.9788800000000002,2.0,2.0,2.0
34,5,136,1.9755200000000002,2.0,2.0,2.0
35,5,140,1.9918400000000003,2.0,2.0,2.0
36,5,171,1.9704000000000002,2.0,2.0,2.0
37,5,114,1.96048,2.0,2.0,2.0
38,5,112,1.98352,2.0,2.0,2.0
39,5,94,1.97376,2.0,2.0,2.0
40,5,158,1.9737599999999997,2.0,2.0,2.0
41,5,193,1.9732800000000001,2.0,2.0,2.0
42,5,245,1.9772800000000004,2.0,2.0,2.0
43,5,42,1.98752,2.0,2.0,2.0
44,5,106,1.9812800000000004,2.0,2.0,2.0
45,5,156,1.97696,2.0,2.0,2.0
46,5,3,1.9616000000000002,2.0,2.0,2.0
47,5,131,1.9739200000000001,2.0,2.0,2.0
48,5,100,1.9654400000000003,2.0,2.0,2.0
49,5,23,1.9913599999999998,2.0,2.0,2.0
50,5,185,1.9876800000000003,2.0,2.0,2.0
51,5,107,1.9801600000000001,2.0,2.0,2.0
52,5,246,1.98384,2.0,2.0,2.0
53,5,88,1.9715200000000004,2.0,2.0,2.0
54,5,46,1.972,2.0,2.0,2.0
55,5,200,1.97648,2.0,2.0,2.0
56,5,190,1.9712000000000003,2.0,2.0,2.0
57,5,236,1.9739200000000001,2.0,2.0,2.0
58,5,60,1.9736000000000005,2.0,2.0,2.0
59,5,56,1.97728,2.0,2.0,2.0
60,5,41,1.9699200000000001,2.0,2.0,2.0
61,5,169,1.97008,2.0,2.0,2.0
62,5,134,1.97904,2.0,2.0,2.0
63,5,203,1.97488,2.0,2.0,2.0
64,5,4,1.9832,2.0,2.0,2.0
65,5,234,1.9712000000000003,2.0,2.0,2.0
66,5,221,1.9815999999999998,2.0,2.0,2.0
67,5,89,1.9620799999999998,2.0,2.0,2.0
68,5,170,1.9628800000000002,2.0,2.0,2.0
69,5,71,1.9705599999999996,2.0,2.0,2.0
70,5,105,1.9780799999999998,2.0,2.0,2.0
71,5,231,1.98256,2.0,2.0,2.0
72,5,21,1.97696,2.0,2.0,2.0
73,5,31,1.9774400000000003,2.0,2.0,2.0
74,5,113,1.9734399999999996,2.0,2.0,2.0
75,5,6,1.9759999999999998,2.0,2.0,2.0
76,5,78,1.99024,2.0,2.0,2.0
77,5,139,1.97984,2.0,2.0,2.0
78,5,22,1.98704,2.0,2.0,2.0
79,5,16,1.98032,2.0,2.0,2.0
80,5,238,1.97152,2.0,2.0,2.0
81,5,111,1.9568,2.0,2.0,2.0
82,5,196,1.9827199999999998,2.0,2.0,2.0
83,5,137,1.98176,2.0,2.0,2.0
84,5,77,1.9828800000000002,2.0,2.0,2.0
85,5,55,1.9792,2.0,2.0,2.0
86,5,51,1.9574400000000005,2.0,2.0,2.0
87,5,211,1.9726400000000002,2.0,2.0,2.0
88,5,80,1.9769599999999996,2.0,2.0,2.0
89,5,217,1.9728,2.0,2.0,2.0
90,5,65,1.9772800000000004,2.0,2.0,2.0
91,5,141,1.9761600000000001,2.0,2.0,2.0
92,5,115,1.9804800000000005,2.0,2.0,2.0
93,5,184,1.97712,2.0,2.0,2.0
94,5,87,1.97904,2.0,2.0,2.0
95,5,25,1.98528,2.0,2.0,2.0
96,5,50,1.94848,2.0,2.0,2.0
97,5,29,1.97968,2.0,2.0,2.0
98,5,8,1.9768000000000001,2.0,2.0,2.0
99,5,1,1.99296,2.0,2.0,2.0
100,5,222,1.97712,2.0,2.0,2.0
101,5,162,1.9662399999999998,2.0,2.0,2.0
102,5,121,1.98384,2.0,2.0,2.0
103,5,176,1.9801600000000001,2.0,2.0,2.0
104,5,206,1.98064,2.0,2.0,2.0
105,5,83,1.98336,2.0,2.0,2.0
106,5,67,1.9787199999999998,2.0,2.0,2.0
107,5,164,1.9724799999999998,2.0,2.0,2.0
108,5,181,1.9803200000000003,2.0,2.0,2.0
109,5,18,1.97968,2.0,2.0,2.0
110,5,230,1.97824,2.0,2.0,2.0
111,5,143,1.98416,2.0,2.0,2.0
112,5,69,1.9849600000000003,2.0,2.0,2.0
113,5,70,1.9841600000000004,2.0,2.0,2.0
114,5,224,1.9780799999999998,2.0,2.0,2.0
115,5,48,1.98416,2.0,2.0,2.0
116,5,189,1.9830400000000001,2.0,2.0,2.0
117,5,58,1.9852800000000002,2.0,2.0,2.0
118,5,35,1.9524800000000002,2.0,2.0,2.0
119,5,32,1.98656,2.0,2.0,2.0
120,5,63,1.96128,2.0,2.0,2.0
121,5,101,1.9849600000000003,2.0,2.0,2.0
122,5,165,1.9755200000000002,2.0,2.0,2.0
123,5,10,1.97504,2.0,2.0,2.0
124,5,252,1.96112,2.0,2.0,2.0
125,5,81,1.9795200000000002,2.0,2.0,2.0
126,5,239,1.9777600000000004,2.0,2.0,2.0
127,5,154,1.9683199999999998,2.0,2.0,2.0
128,5,76,1.9886399999999997,2.0,2.0,2.0
129,5,144,1.98048,2.0,2.0,2.0
130,5,210,1.97088,2.0,2.0,2.0
131,5,256,1.9624000000000001,2.0,2.0,2.0
132,5,148,1.97648,2.0,2.0,2.0
133,5,197,1.97056,2.0,2.0,2.0
134,5,72,1.9860799999999998,2.0,2.0,2.0
135,5,37,1.9672,2.0,2.0,2.0
136,5,61,1.9732799999999997,2.0,2.0,2.0
137,5,138,1.9856000000000003,2.0,2.0,2.0
138,5,235,1.96672,2.0,2.0,2.0
