,nodes,id,avg_avg_fit,min_best_fit,max_best_fit,avg_best_fit
0,7,202,1.9616,2.0,2.0,2.0
1,7,342,1.9740571428571427,2.0,2.0,2.0
2,7,361,1.9614857142857143,2.0,2.0,2.0
3,7,17,1.9701714285714285,2.0,2.0,2.0
4,7,335,1.9675428571428573,2.0,2.0,2.0
5,7,479,1.9778285714285715,2.0,2.0,2.0
6,7,275,1.9825142857142857,2.0,2.0,2.0
7,7,123,1.981942857142857,2.0,2.0,2.0
8,7,194,1.992457142857143,2.0,2.0,2.0
9,7,212,1.9753142857142856,2.0,2.0,2.0
10,7,471,1.9869714285714288,2.0,2.0,2.0
11,7,316,1.9672,2.0,2.0,2.0
12,7,356,1.9725714285714286,2.0,2.0,2.0
13,7,181,1.9712,2.0,2.0,2.0
14,7,271,1.9744,2.0,2.0,2.0
15,7,69,1.9779428571428568,2.0,2.0,2.0
16,7,376,1.9691428571428573,2.0,2.0,2.0
17,7,295,1.9768000000000001,2.0,2.0,2.0
18,7,164,1.9684571428571427,2.0,2.0,2.0
19,7,401,1.9621714285714282,2.0,2.0,2.0
20,7,438,1.992457142857143,2.0,2.0,2.0
21,7,182,1.9724571428571427,2.0,2.0,2.0
22,7,139,1.9782857142857142,2.0,2.0,2.0
23,7,326,1.972114285714286,2.0,2.0,2.0
24,7,24,1.9854857142857145,1.9714285714285715,2.0,1.997142857142857
25,7,484,1.9797714285714285,2.0,2.0,2.0
26,7,52,1.9731428571428569,2.0,2.0,2.0
27,7,378,1.9896,2.0,2.0,2.0
28,7,311,1.9662857142857142,2.0,2.0,2.0
29,7,233,1.9794285714285713,2.0,2.0,2.0
30,7,61,1.972,2.0,2.0,2.0
31,7,280,1.9854857142857145,2.0,2.0,2.0
32,7,82,1.9730285714285714,2.0,2.0,2.0
33,7,90,1.9794285714285713,2.0,2.0,2.0
34,7,407,1.9814857142857143,2.0,2.0,2.0
35,7,238,1.9870857142857143,2.0,2.0,2.0
36,7,467,1.9697142857142858,2.0,2.0,2.0
37,7,46,1.9699428571428572,2.0,2.0,2.0
38,7,214,1.9823999999999997,2.0,2.0,2.0
39,7,86,1.960457142857143,2.0,2.0,2.0
40,7,110,1.954514285714286,2.0,2.0,2.0
41,7,198,1.9625142857142859,2.0,2.0,2.0
42,7,91,1.9817142857142858,2.0,2.0,2.0
43,7,103,1.9739428571428572,2.0,2.0,2.0
44,7,234,1.9813714285714288,2.0,2.0,2.0
45,7,63,1.9820571428571427,2.0,2.0,2.0
46,7,458,1.9694857142857143,2.0,2.0,2.0
47,7,30,1.9786285714285718,2.0,2.0,2.0
48,7,371,1.9778285714285715,2.0,2.0,2.0
49,7,442,1.9803428571428572,2.0,2.0,2.0
50,7,20,1.9768000000000001,2.0,2.0,2.0
51,7,322,1.9645714285714284,2.0,2.0,2.0
52,7,441,1.9864000000000002,2.0,2.0,2.0
53,7,375,1.9853714285714283,2.0,2.0,2.0
