,Unnamed: 0,nodes,id,avg_avg_fit,min_best_fit,max_best_fit,avg_best_fit,prop_fit_enough,avg_peak_sd,prop_together,num_edges,two_cycles,long_cycles,strongly_connected
0,0,15,425,2.7820078309412284,3.635621143467029,6.464978503947657,4.8518992091413775,0.0,0.0,0.0,63,7,15865,True
1,1,15,149,2.8158489326159017,3.9769546193855656,7.162227898178314,5.459795341007755,0.0,0.0,0.0,60,7,12900,True
2,2,15,90,2.3886402713637795,3.3967632557422687,5.57526862410146,4.4702135696034535,0.0,0.0,0.0,56,8,3802,True
3,3,15,296,2.512864902558843,4.398983432226749,5.913352667869251,4.954817449021316,0.0,0.0,0.0,56,10,1160,False
4,4,15,386,2.6019088304641174,3.7230346317922463,6.770935053972527,4.957438364007233,0.0,0.0,0.0,59,8,1387,False
5,5,15,306,2.6337024952190093,3.085270056892316,6.357891069625863,4.7292425927028905,0.0,0.0,0.0,58,10,5946,False
6,6,15,228,2.3948790179789468,3.3239720613533903,5.796573048557678,4.4225898214040775,0.0,0.0,0.0,57,8,5298,False
7,7,15,289,2.6072853702405867,3.825308683607693,5.759320618781773,4.679372590273436,0.0,0.0,0.0,62,7,16916,True
8,8,15,382,2.388499414381499,3.137334410136686,6.0699126631138025,4.388356222215253,0.0,0.0,0.0,57,7,6764,False
9,9,15,238,2.5563669063688077,3.1170358603614363,7.140087000138049,4.3380292151946565,0.0,0.0,0.0,59,9,3021,False
10,10,15,484,2.452261566321412,3.5479583941250334,6.408301619951423,4.4976264511476085,0.0,0.0,0.0,63,4,40064,True
11,11,15,65,2.5629318274354316,3.9742093807385803,6.4483293772814605,4.657936385211012,0.0,0.0,0.0,62,10,9700,True
12,12,15,119,2.2570471915273242,2.8991928508757736,5.284462954632762,4.105899079899216,0.0,0.0,0.0,58,10,17976,True
13,13,15,29,2.1363978979737266,2.5682146201435465,5.163689688713013,3.8919801335612023,0.0,0.0,0.0,60,6,4895,False
14,14,15,240,2.787558845026845,4.4056508402558245,6.654069199319424,5.188131321563277,0.0,0.0,0.0,59,7,10696,True
15,15,15,55,2.487657538437092,2.8945156149168123,6.810472885931738,4.496539311664393,0.0,0.0,0.0,55,13,3460,True
16,16,15,300,2.71374771439354,3.2076664921371805,6.114328621062371,4.729815131878143,0.0,0.0,0.0,59,11,5877,False
17,17,15,472,2.207028488964197,3.399933443498423,5.883385830509571,4.255808087204999,0.0,0.0,0.0,64,11,8348,True
18,18,15,450,2.197504942870672,3.0484670493714447,4.33857770735169,3.8374315966357924,0.0,0.0,0.0,56,8,5993,True
19,19,15,491,2.387146268303628,3.1760454623086347,5.108542903522057,4.295223879289431,0.0,0.0,0.0,58,8,17030,True
20,20,15,155,2.3045747423997365,3.168836302904701,5.823492292970923,4.775630037274314,0.0,0.0,0.0,61,14,7788,False
21,21,15,56,2.1583499801008825,3.0040487335847943,4.9378535028149475,3.913958489675724,0.0,0.0,0.0,57,4,9325,True
22,22,15,418,2.28121265573681,3.752874251124517,6.653861468356755,4.489248275836982,0.0,0.0,0.0,59,10,8076,True
23,23,15,5,2.9302661820235136,3.5866513436225835,6.230207406107335,5.238946152860253,0.0,0.0,0.0,56,9,5840,True
24,24,15,388,2.3327445282526265,3.696196226807915,4.704200547364568,4.121772665739827,0.0,0.0,0.0,58,9,3724,True
25,25,15,304,2.4973602521272653,2.6718602658890904,6.366424011787232,4.49671248762142,0.0,0.0,0.0,55,6,4178,True
26,26,15,130,2.5213283894676857,3.6016626178841125,6.545179920722402,4.648408404847527,0.0,0.0,0.0,61,9,17753,True
27,27,15,68,2.525434558975629,3.51518543398377,6.928326333825884,4.827522564054972,0.0,0.0,0.0,55,9,4849,True
28,28,15,36,2.3919143712567315,3.0642470079692994,5.923138633106978,4.549587061037365,0.0,0.0,0.0,53,7,2286,False
29,29,15,95,2.4744684620161608,3.6854994706124726,6.127727135092437,4.72450361227229,0.0,0.0,0.0,59,9,3113,True
30,30,15,160,2.4325600728919587,3.3096687148193222,5.382432467435104,4.385796200105263,0.0,0.0,0.0,54,5,3011,True
31,31,15,447,2.4189773986640146,3.4548710338241504,6.346562203533285,4.343161179589293,0.0,0.0,0.0,56,8,5961,True
32,32,15,409,2.4571474703097187,3.077485442755786,5.1927865478237925,4.23164606538988,0.0,0.0,0.0,56,4,5199,True
33,33,15,128,2.265436994639044,3.207983579606017,5.0295755591324784,4.180084564172325,0.0,0.0,0.0,61,12,15237,True
34,34,15,420,2.306811404259729,2.799759341156021,5.3780380047983405,4.274389008666684,0.0,0.0,0.0,58,6,19956,True
35,35,15,118,2.470727078157648,3.3681362667845316,5.493667496317749,4.460779144112519,0.0,0.0,0.0,60,7,6856,True
36,36,15,239,2.2204953476691527,3.0276684918507843,5.694637774342362,4.245476867455723,0.0,0.0,0.0,58,8,6306,True
37,37,15,112,2.439151010675129,3.3536193427008643,6.8372359858915175,4.449040929125389,0.0,0.0,0.0,60,6,11137,False
38,38,15,102,2.1795446280666484,2.7498812460254314,5.193480813294595,3.903107552220996,0.0,0.0,0.0,58,5,4329,True
39,39,15,274,2.580356982156558,2.22762137809012,7.935854015551317,4.45400716870029,0.0,0.0,0.0,59,11,9708,True
40,40,15,192,2.219790634713573,3.061657565768936,5.46865833482194,4.132746109709118,0.0,0.0,0.0,53,5,3275,True
41,41,15,395,2.5359963441000355,3.2813789871085604,6.1041559301269555,4.586521509496371,0.0,0.0,0.0,62,11,35039,True
42,42,15,383,2.4086892386002825,3.5992353824957357,5.441986438285046,4.210452432203513,0.0,0.0,0.0,57,4,3057,False
43,43,15,303,2.3756544879104853,2.594752950025189,5.492269987773815,4.550779010876592,0.0,0.0,0.0,62,8,3858,False
44,44,15,22,2.2614370922373843,2.9252668238720916,5.076338387205693,4.16556445164515,0.0,0.0,0.0,54,9,2527,True
45,45,15,47,2.694257613213943,3.8297754361361194,7.023529924009446,4.910631480561479,0.0,0.0,0.0,62,12,11908,False
46,46,15,264,2.5083946735876625,3.2012064407106786,7.3617256029400435,4.481451948105752,0.0,0.0,0.0,57,6,5336,True
47,47,15,156,2.294077671357188,2.8804079914966896,5.601390273224387,4.247072962263078,0.0,0.0,0.0,59,10,11444,True
48,48,15,213,2.3948164032058243,3.4257230432985883,6.914262067356058,4.6347758108602255,0.0,0.0,0.0,57,11,5572,True
49,49,15,13,2.2923735671019108,3.3739575535851016,5.470750279556434,4.413568964862412,0.0,0.0,0.0,61,9,1595,False
50,50,15,407,2.4310697385472926,3.1421305369140202,7.180800484792657,4.3367289954388974,0.0,0.0,0.0,55,6,6827,True
51,51,15,259,2.4923212627901408,2.802879622353507,5.773711881782608,4.597729576577534,0.0,0.0,0.0,57,8,6307,True
52,52,15,322,2.5116867405860366,3.1503384201829374,5.610473593258768,4.302313060517552,0.0,0.0,0.0,59,9,6904,True
53,53,15,285,2.2594420226135354,2.7139435225985817,5.51895922923745,3.9722694451244314,0.0,0.0,0.0,57,4,6198,True
54,54,15,254,2.7539175597715504,3.575913453107016,5.769208189780117,4.87370947795389,0.0,0.0,0.0,59,10,6098,True
