,Unnamed: 0,nodes,id,avg_avg_fit,min_best_fit,max_best_fit,avg_best_fit,prop_fit_enough,avg_peak_sd,prop_together,num_edges,two_cycles,long_cycles,strongly_connected
0,0,6,207,7.536584502522419,10.235630790852317,17.105767920420426,13.477934858271551,0.7,0.3448229352849995,1.0,17,6,10,True
1,1,6,394,6.68793453900829,9.033109771578028,15.072997631967931,12.486519344601355,0.5,0.3159069125229308,1.0,17,5,21,True
2,2,6,398,6.657190701313028,10.160636418711388,17.204699471969608,12.952227300309167,0.7,2.7205203426673408,1.0,19,6,25,True
3,3,6,267,7.488948370990482,10.842420769573005,17.453634211037564,13.633994562164451,0.8,5.404244198806522,1.0,18,6,22,True
4,4,6,457,6.899795997331393,10.31931867697475,15.453380530021892,13.05538358582277,0.7,0.5474723227229966,1.0,19,4,52,True
5,5,6,155,7.384256063191183,9.416290285102496,20.11080445287665,13.386556307016553,0.7,0.4784178768353994,1.0,18,6,23,True
6,6,6,407,7.111053151169918,10.46374146326868,15.786054721808341,12.983399516048825,0.6,0.3736914683054203,0.0,20,7,36,True
7,7,6,96,7.283525715634951,10.318738329222393,15.634955818491154,13.417408210174164,0.8,0.398175408602878,1.0,18,7,21,True
8,8,6,114,6.594012819634884,6.963519755302538,17.005111087947277,12.549227890342655,0.6,0.3545705581033537,1.0,19,6,39,True
9,9,6,170,6.521896204319058,6.685806081354286,20.50304457790878,13.39808066231168,0.7,0.4574958551889406,0.0,17,3,17,True
10,10,6,433,6.447046522474258,7.3348063228616995,18.979886761343533,12.267980553020983,0.4,0.3262747538763729,0.0,18,5,15,True
11,11,6,413,8.196339154069296,7.000252383803124,20.797561244606214,13.378293028651962,0.6,0.3390578894486941,1.0,17,4,18,True
12,12,6,354,6.061175571214081,7.21769310870618,18.383566287008534,11.732357355350436,0.3,0.4405844540382131,0.0,19,6,11,False
13,13,6,196,7.866686242127693,10.645642214099258,18.199599394465405,13.978552480900571,0.8,0.2983414640074882,0.0,20,8,51,True
14,14,6,371,6.953187295883153,8.841367679131785,18.477167881878888,13.031602629992845,0.4,0.4736843822568256,0.0,19,6,17,True
15,15,6,176,6.6100413814523975,10.473919944979334,14.103924871550296,11.811131305523574,0.4,0.7368221381505864,1.0,19,7,39,True
16,16,6,78,7.343712949803742,9.382139296133868,18.718652125379187,14.04359920494714,0.8,1.028602429729907,1.0,15,4,14,True
17,17,6,449,6.432189912103362,8.077944360881885,16.577447872924886,12.234076324654039,0.5,0.3662915805896249,0.0,15,5,10,False
18,18,6,164,6.013474963343607,7.555129167870463,14.44722379015018,11.125572445429018,0.5,0.8028949241349308,0.0,15,4,8,True
19,19,6,165,7.115932336158856,9.66438868197536,17.695393624597667,13.543936863408687,0.8,0.467529092849884,1.0,20,7,45,True
