,Unnamed: 0,nodes,id,avg_avg_fit,min_best_fit,max_best_fit,avg_best_fit,prop_fit_enough,avg_peak_sd,prop_together,num_edges,two_cycles,long_cycles,strongly_connected
0,0,12,462,3.6376314170207618,5.324154996915384,9.01317090058498,7.223443830967232,0.0,0.0,0.0,82,24,597632,True
1,1,12,24,3.846259958933661,4.5718462836537315,11.693101658433394,7.403195495378653,0.0,0.0,0.0,86,31,544119,True
2,2,12,279,3.9077561329287303,4.527740337211359,10.633044496636415,7.706225906293341,0.0,0.0,0.0,78,24,278111,True
3,3,12,90,4.108714013475613,5.8724557627911915,9.219629623779591,7.748289593210096,0.0,0.0,0.0,78,23,306747,True
4,4,12,11,3.893078735884161,5.939927763194772,10.452359588787617,7.94357087715851,0.0,0.0,0.0,84,25,862576,True
5,5,12,438,3.8148808442051036,4.7228727450316565,9.426218333828624,7.226381156739253,0.0,0.0,0.0,76,24,196297,True
6,6,12,229,3.7963544429468503,5.516694938551197,11.239094287100816,8.001328357572811,0.0,0.0,0.0,83,26,527905,True
7,7,12,83,4.3490768137459925,4.776602328118456,11.57876606585964,8.005517997908347,0.0,0.0,0.0,82,27,588441,True
8,8,12,144,3.5284230161490173,4.673938106058693,9.457495500234813,6.8946566261426385,0.0,0.0,0.0,79,27,304800,True
9,9,12,139,3.941282980309005,5.589642890833553,10.028120754661106,7.487780813458755,0.0,0.0,0.0,85,25,789155,True
10,10,12,95,3.7420092870492008,4.470806486590386,13.311067839204247,7.592424615490832,0.1,0.4242640687119284,0.0,84,29,521515,True
11,11,12,336,3.304680242787208,4.883490672418294,10.388462728310262,6.761330522622137,0.0,0.0,0.0,79,27,335843,True
12,12,12,482,3.9134891551271416,6.0993083006964985,9.749336225327289,7.741763468203633,0.0,0.0,0.0,87,29,1010274,True
13,13,12,94,3.8780779500950033,6.0023469488158945,9.026782036933175,7.480554716036048,0.0,0.0,0.0,80,24,504072,True
14,14,12,476,4.0279067964234665,6.128073367716983,9.6704891513869,8.138814858120128,0.0,0.0,0.0,80,24,359231,True
15,15,12,327,3.5678303126684403,5.5071344736757215,10.14696994053492,7.427043664560041,0.0,0.0,0.0,78,23,329598,True
16,16,12,295,3.5840828304819987,4.910438332360673,9.775708862208527,7.073457897938006,0.0,0.0,0.0,77,22,244015,True
17,17,12,447,4.704454718080752,6.185819972424889,10.448460038761453,8.131166205571,0.0,0.0,0.0,80,25,443085,True
18,18,12,71,3.550746393351829,4.089811633832598,9.46682765935837,7.183265112063072,0.0,0.0,0.0,79,25,369914,True
19,19,12,68,4.280026160198658,6.6292529259524215,10.784168549320354,8.57379602498466,0.0,0.0,0.0,83,28,548407,True
20,20,12,330,3.8284901130500653,6.205595612191484,8.954545019575416,7.6377525369366435,0.0,0.0,0.0,88,27,1463269,True
21,21,12,340,3.8143604103945847,5.606419347687735,10.269504408063213,7.006056599943049,0.0,0.0,0.0,80,27,466355,True
22,22,12,121,3.644654899924453,4.819062471179025,8.996334850270427,6.858442656069586,0.0,0.0,0.0,76,24,294205,True
23,23,12,179,3.782237636690393,5.069679292957686,10.139797388931267,7.063075187573173,0.0,0.0,0.0,74,22,96113,True
24,24,12,1,3.85680624721364,6.626865289186026,10.341494508438892,8.073052417810956,0.0,0.0,0.0,82,29,475867,True
25,25,12,374,3.899718732456725,4.753010513001789,11.569474517819804,7.518349396798864,0.0,0.0,0.0,75,24,180444,True
26,26,12,89,3.634860078656796,4.98045410821313,9.351092707456964,7.11363293955943,0.0,0.0,0.0,82,26,580759,True
27,27,12,66,3.892435866848472,5.1090808206282405,10.451346235902088,7.2060460755775555,0.0,0.0,0.0,80,25,318869,True
28,28,12,79,3.4720053430781106,5.253454201224892,9.084826183194082,6.911460046696436,0.0,0.0,0.0,80,28,347128,True
29,29,12,192,4.058291304567583,5.218049730025494,12.11261110436924,7.963539385094527,0.1,0.4952148436349379,0.0,80,27,347553,True
30,30,12,437,4.025093372668237,5.050273564410659,11.899503818378196,7.6029108925463715,0.0,0.0,0.0,72,20,163144,True
31,31,12,492,3.174232320680835,3.742301232337876,9.706847519975536,6.5852065857780895,0.0,0.0,0.0,73,24,183286,True
32,32,12,197,3.813339078698247,5.063076331939566,8.651063910516228,6.915995022669781,0.0,0.0,0.0,81,23,406966,True
33,33,12,491,3.5097893455562774,5.407915070804531,8.80774072688814,7.311338921900296,0.0,0.0,0.0,77,24,342172,True
34,34,12,305,4.371584687322523,7.3402589076213065,9.577055592845909,8.312476269946941,0.0,0.0,0.0,78,26,259499,True
35,35,12,117,4.4228607691217725,6.152578689697123,9.435251096078387,8.14965779925683,0.0,0.0,0.0,81,26,493305,True
36,36,12,108,4.073582727598793,5.3727211009639735,10.085837567710882,7.8333432098747755,0.0,0.0,0.0,84,28,800879,True
37,37,12,345,4.027200101879503,5.0009387402464505,10.86414802792636,7.497849094496324,0.0,0.0,0.0,74,17,198044,True
38,38,12,119,3.9323767236604534,4.834246196491222,10.313582671970698,7.737172977881897,0.0,0.0,0.0,78,24,190793,True
39,39,12,23,3.1054544180713024,4.450009825665802,8.184864239236344,6.318413712828401,0.0,0.0,0.0,77,21,161707,True
40,40,12,47,3.7110397778180393,5.039667937008488,11.417075778440651,7.429222878040051,0.0,0.0,0.0,87,26,827468,True
41,41,12,408,3.9925929920446657,5.119479810939054,10.202672375680637,7.280868939749361,0.0,0.0,0.0,78,23,385235,True
42,42,12,37,3.3730111761759822,5.077526192801688,8.750022520715989,6.763036656000656,0.0,0.0,0.0,86,29,800541,True
43,43,12,101,3.829076697429576,5.950258647773428,9.675674239188677,7.645166170129694,0.0,0.0,0.0,80,23,560005,True
44,44,12,124,3.6858965321872974,5.378888790328811,9.274815494322807,7.027960201705363,0.0,0.0,0.0,83,22,564036,True
45,45,12,458,3.6853930207210497,5.140096513590897,9.014411533672368,7.0845240574491015,0.0,0.0,0.0,77,23,221310,True
46,46,12,277,3.3724416969220137,4.260051447399152,8.110019760596566,6.203573292972699,0.0,0.0,0.0,79,23,442731,True
47,47,12,488,3.9239823419431965,4.240118051930989,8.743293315801447,7.0834796598709735,0.0,0.0,0.0,81,26,313609,True
48,48,12,258,3.306004960577676,3.9843889211459103,10.820768623071716,6.735484929968688,0.0,0.0,0.0,79,21,344769,True
49,49,12,177,3.663251486908999,5.757402294343401,9.841630361985807,7.096347760779767,0.0,0.0,0.0,79,25,410745,True
50,50,12,453,3.697091936565149,5.219689736006995,9.004929488755133,7.128026203700098,0.0,0.0,0.0,80,21,497361,True
51,51,12,118,3.35072054643228,4.894567574590074,10.833737653883764,6.6782896422889095,0.0,0.0,0.0,79,27,532997,True
52,52,12,260,3.330301968022831,5.2181630551365075,7.865770991433675,6.757711348414111,0.0,0.0,0.0,78,20,308183,True
53,53,12,368,3.686085257805338,4.954309607758608,9.323188798998897,7.1634676463199085,0.0,0.0,0.0,78,25,177296,True
54,54,12,297,3.1329255457933267,4.839498820948187,8.94797300945269,5.990832823619484,0.0,0.0,0.0,71,20,136315,True
55,55,12,59,4.0932920137700535,5.308516324694367,9.762326475926235,8.088047450644847,0.0,0.0,0.0,78,26,344342,True
56,56,12,456,3.3812020820772672,5.316043311964292,8.429456061829969,6.996599178844623,0.0,0.0,0.0,80,22,401315,True
57,57,12,254,3.6309584945304536,4.775384679126256,12.458345365666382,7.220667383737512,0.1,0.5387803241875131,0.0,80,23,294121,True
58,58,12,189,4.091051363750234,5.885638294449151,10.781653660754118,7.909445425260925,0.0,0.0,0.0,88,28,1095282,True
59,59,12,334,3.6791006540549858,4.973945918999316,9.197282008499046,7.406868925380692,0.0,0.0,0.0,75,24,134000,True
60,60,12,249,3.879530911647268,4.914687567123598,12.540254981969529,7.111903959015603,0.1,0.12993306894751447,0.0,77,26,261224,True
61,61,12,382,3.767922150917459,5.450563526934234,9.34206373167773,7.150301993099967,0.0,0.0,0.0,81,23,453693,True
62,62,12,214,3.4412426920450168,4.604856375451698,10.90801245532842,7.075464195012422,0.0,0.0,0.0,84,24,765116,True
63,63,12,265,3.5205188128815013,5.672859777459652,11.223363657527658,7.394905847450793,0.0,0.0,0.0,86,27,1149310,True
