,nodes,id,avg_avg_fit,min_best_fit,max_best_fit,avg_best_fit,prop_fit_enough,avg_peak_sd,prop_together
0,11,448,3.062416672215814,3.881183752516919,7.1491301960932105,5.970339274721739,0.0,0.0,0.0
1,11,153,2.9119716768549404,3.6775126024156988,7.169130200035427,5.48909282804034,0.0,0.0,0.0
2,11,238,3.3874330899067986,4.039467636530855,7.994940560146648,6.299696130062455,0.0,0.0,0.0
3,11,247,2.904005143257658,3.708965373755074,6.1619371493119335,4.897008316868465,0.0,0.0,0.0
4,11,461,2.7696809350060994,4.955041212592443,6.2309334426363465,5.567564652760135,0.0,0.0,0.0
5,11,279,3.370515772982329,3.4262890629398544,8.197243375834454,5.687434936114211,0.0,0.0,0.0
6,11,59,2.7938848708185207,3.8797023013214593,9.07859087064553,5.667982022225724,0.0,0.0,0.0
7,11,197,3.3014133914817014,5.054114636443413,7.664512666461759,6.09187867002578,0.0,0.0,0.0
8,11,286,2.9535261181300947,4.194500834690281,7.114458038104812,5.3388418328078995,0.0,0.0,0.0
9,11,242,3.0469869819496167,4.013497628751151,6.026846488626143,5.476015296115618,0.0,0.0,0.0
10,11,341,3.478453660700906,4.3442035573667495,8.350041089797074,6.34281049854341,0.0,0.0,0.0
11,11,283,2.9329630208537982,4.09544494568451,7.5633110387133335,5.769702831885992,0.0,0.0,0.0
12,11,15,3.501814300166868,3.7977722553609703,8.674748428829314,6.353360292694387,0.0,0.0,0.0
13,11,328,2.6510790511510622,4.154115551926597,6.059934713532292,4.970962673772533,0.0,0.0,0.0
14,11,414,3.124738216846769,4.321480599904233,8.246937947215061,5.739940097546776,0.0,0.0,0.0
15,11,117,2.773017281547149,3.59657312462571,7.199448188918987,4.836519052996662,0.0,0.0,0.0
16,11,391,2.6527999542112566,3.6993314237665516,6.703097865870848,5.001037631777477,0.0,0.0,0.0
17,11,225,3.1447505738451165,3.7755543185493705,7.173404580216156,5.797853664420512,0.0,0.0,0.0
18,11,53,3.109077281033817,4.5947671413678,6.676049546243193,5.7363910550876955,0.0,0.0,0.0
19,11,481,3.687733799644138,5.1880825496671585,8.662684569917529,6.609347624123231,0.0,0.0,0.0
20,11,372,4.034946324664995,4.880946711366236,12.278474256637441,7.192703494201251,0.1,0.3363351995758482,0.0
21,11,289,3.10922358611842,3.824100750358943,7.922917862956317,5.6602397852506545,0.0,0.0,0.0
22,11,496,3.2383381119216472,4.619211696436325,7.556291723215855,5.8697672230265905,0.0,0.0,0.0
23,11,91,2.8018777691358308,3.5854045913452945,7.4436906686253534,5.1278666572400935,0.0,0.0,0.0
24,11,236,2.9610913897116307,4.0260317528772065,8.000096389427197,5.932656627614376,0.0,0.0,0.0
25,11,267,3.2604337875030147,3.4308398753291494,8.295983023627736,5.792431970978998,0.0,0.0,0.0
26,11,204,2.768785621524496,4.1831441912372345,8.38539780720202,5.507865352065268,0.0,0.0,0.0
27,11,495,3.462064783713366,3.830575159159064,7.41525385220412,5.8896804500630635,0.0,0.0,0.0
28,11,200,3.0296218687493783,3.6940410587465764,7.3128939776168265,5.836134545223421,0.0,0.0,0.0
29,11,94,2.989167429472436,4.050564838207984,7.390376684599866,5.346943080139758,0.0,0.0,0.0
30,11,299,2.9158773575307166,2.9553462232338514,7.236595183549752,5.32022595737299,0.0,0.0,0.0
