,nodes,id,avg_avg_fit,min_best_fit,max_best_fit,avg_best_fit,prop_fit_enough,avg_peak_sd,prop_together
110,9,150,4.328516543229966,6.5747386708187125,10.353876843401506,8.298390901065023,0.0,0.0,0.0
111,9,399,4.604525612748935,6.243208011723913,10.49361503639306,8.368116882633032,0.0,0.0,0.0
112,9,24,4.426254953532384,5.191719234288842,9.868584687891378,8.011645514195184,0.0,0.0,0.0
113,9,446,4.808370877564247,7.387069506184314,13.288900105680932,9.422703241416487,0.1,0.24303726423961308,0.0
114,9,234,3.8838220732769493,5.0170106602847016,9.577881823523928,7.29087745181486,0.0,0.0,0.0
115,9,59,4.5754691868344874,6.109972050485808,10.952113885840518,8.3040160677154,0.0,0.0,0.0
116,9,182,4.326617552440461,5.623399075065249,12.069679073100358,8.280527805178776,0.1,0.04838726508488539,1.0
117,9,443,4.406849118528209,4.326122747316195,12.021280790529712,8.380422749632142,0.1,0.49282956246271387,0.0
118,9,299,4.734755137743839,5.354708855547313,13.054889940573295,8.342867238874417,0.1,0.0819621937395681,0.0
119,9,50,4.11541891290234,5.987658261236436,10.558625892716007,8.025578446435635,0.0,0.0,0.0
120,9,219,4.019756640255107,5.673497742127544,10.593847919055857,7.869549704837605,0.0,0.0,0.0
121,9,316,4.195541042146205,6.202990995310975,9.385211079750055,7.939251048468066,0.0,0.0,0.0
122,9,14,4.05874164141499,4.639125484317371,10.961028737994228,7.969145651966319,0.0,0.0,0.0
123,9,447,4.195629789212723,5.799084830789054,11.320869324435979,8.361400820044448,0.0,0.0,0.0
124,9,262,4.25100537374569,5.868157969589893,10.793145046923094,7.8430866434692845,0.0,0.0,0.0
125,9,137,4.272379705466251,4.45372868347871,9.618812825238209,7.485786583438656,0.0,0.0,0.0
126,9,41,5.156296199399029,6.683966037335218,11.74224259011265,8.952011064676187,0.0,0.0,0.0
127,9,193,5.13967261243065,7.470538540795435,11.278765740353508,9.216001595977788,0.0,0.0,0.0
128,9,352,4.422898860973119,4.898475515738198,12.605052844797774,8.396863059878118,0.1,0.08512426792696147,0.0
129,9,152,4.251000343131472,4.420635521185005,12.24575824156896,8.039765748263518,0.1,0.1563151207597332,0.0
130,9,439,4.753329722043148,5.370951001159968,12.119763468390865,9.037068593399772,0.1,0.29953823919179834,0.0
131,9,286,4.467336142761865,5.53068988989135,11.411627847128395,8.124778837998857,0.0,0.0,0.0
132,9,400,5.069161674802447,6.808263146773543,14.920630912244519,9.8954788531664,0.2,0.36924205057092907,0.0
133,9,229,3.716042804827302,6.04131672284186,9.161635029206527,7.194428888561603,0.0,0.0,0.0
134,9,407,3.9851699310784965,4.3709816813154205,10.627420995146352,7.678053768681944,0.0,0.0,0.0
135,9,213,4.390404939627301,6.152583293585107,10.665580039061433,8.188096460123871,0.0,0.0,0.0
136,9,246,4.616874848613179,6.638650303849114,10.390970809510081,8.37622903704894,0.0,0.0,0.0
137,9,463,4.335243062790333,6.206608749320017,10.116952265171394,8.0254838250932,0.0,0.0,0.0
138,9,38,4.183161033721121,5.703132358983925,10.462749939470859,7.857589087475965,0.0,0.0,0.0
139,9,153,4.593585766682156,5.874621883410002,10.52892964650199,8.031878111649679,0.0,0.0,0.0
140,9,260,4.735789299849403,4.353196853933318,13.148027315725383,8.905629722986085,0.1,0.18452871537270998,0.0
141,9,4,4.361304415740086,6.459426167517094,9.785616818573905,8.009206694012407,0.0,0.0,0.0
142,9,239,4.245653771056081,4.580933035061685,10.27587649179459,8.185278337593349,0.0,0.0,0.0
143,9,477,4.167566076910505,6.163491278716154,10.022134807897604,8.09054988961004,0.0,0.0,0.0
144,9,422,4.58230602176512,5.444329588944222,9.878299193214438,8.40929153261815,0.0,0.0,0.0
145,9,62,4.381540645961072,5.190335654052676,14.450751556109187,8.191992594217272,0.1,0.22024921752084597,0.0
146,9,253,4.834780890134449,6.028809604148547,13.715322546933097,9.09638726477504,0.1,0.14331687427269937,0.0
147,9,222,4.111022335143141,5.427602567701811,11.234314270277372,8.02135562665996,0.0,0.0,0.0
148,9,412,4.526406040657408,5.555412830903389,11.948428582016744,8.36305241621347,0.0,0.0,0.0
149,9,143,4.699189166064692,6.251443391970583,11.153687921052182,8.429210052897965,0.0,0.0,0.0
150,9,458,4.158487444639111,5.867096904862503,9.997217290196515,8.04190710785989,0.0,0.0,0.0
151,9,413,4.791705889012498,6.941709014868034,10.897310183290115,8.818041906888766,0.0,0.0,0.0
152,9,306,3.6507480861822055,4.169891299224421,9.241818807290457,6.62262235881605,0.0,0.0,0.0
153,9,179,4.65744887604261,7.014675450460816,11.382585273050742,8.937934131069209,0.0,0.0,0.0
154,9,95,4.213539654588639,6.29757508435097,10.90741829443005,7.937979901553211,0.0,0.0,0.0
155,9,19,4.672905013058637,6.125610396300577,11.694730477429816,8.742196967483101,0.0,0.0,0.0
156,9,478,4.102535456609568,6.21238970965984,9.289104374270524,7.826856522217089,0.0,0.0,0.0
157,9,56,4.1920480768052055,5.267167735066235,11.915093714397186,8.848107215926241,0.0,0.0,0.0
158,9,473,4.676355220574984,7.672880264818021,11.46440972447936,9.09062737915273,0.0,0.0,0.0
159,9,85,4.342980437348568,4.3180214258289915,10.266722384661712,8.35074923125109,0.0,0.0,0.0
160,9,128,4.349572316207109,5.947542297790431,11.265431240055147,8.540234539876547,0.0,0.0,0.0
161,9,258,4.0072381845441996,4.39102225593097,10.560061265618486,7.522356483020727,0.0,0.0,0.0
162,9,240,4.1272746158726505,5.936656915605349,9.833669608918711,8.11872806696061,0.0,0.0,0.0
163,9,370,4.7477456968779235,4.219851303497529,12.21841910176323,8.64835904181496,0.1,0.0072648315725677886,0.0
164,9,428,4.400072236591781,6.3435104597295355,9.756322101835384,8.253134461497408,0.0,0.0,0.0
165,9,135,4.429250884775822,5.358596130565564,9.82056869014253,8.103598002577437,0.0,0.0,0.0
166,9,12,4.140127605723431,4.671859130937429,11.623426178316592,7.8392822539649645,0.0,0.0,0.0
167,9,154,4.389531013997769,6.8730889433461675,10.255976260187104,8.673923078695243,0.0,0.0,0.0
168,9,185,4.13548203769224,5.19689778597749,9.355061585144261,7.591567947127421,0.0,0.0,0.0
169,9,295,3.9473860408710246,4.413193693712094,10.303583594126378,7.571571882494491,0.0,0.0,0.0
170,9,355,4.921308084095031,6.184775181169671,11.391489372617851,9.046873908771547,0.0,0.0,0.0
